,Actual,Gru_predicted,cNN_biLSTM_1fea-Copy1_predicted,cNN_1Fea_predicted,cNN_LSTM_1fea_predicted,vANILLA_LSTM_predicted,biLSTM_predicted,gRU_biLSTM_1fea_predicted,sEQ2SEQ_predicted,sTACKED_LSTM_predicted
358,19.75,40.46470143162413,23.41346010987096,25.67952759155149,34.842345717508735,24.85197547621449,20.13886891605602,26.998311123746983,25.878412373781376,31.86930720764511
359,17.5,41.09267175362491,22.830547887414365,27.989866283921973,34.42446921687134,26.8312247218834,22.83845712923136,25.18018333226336,29.82569448902666,31.91473765785926
360,24.5,44.74141484083385,24.31248337720224,33.70523446169649,36.64271073121968,32.4820900244871,29.09741509762741,24.21677641534525,39.24601419701569,31.91771646321891
361,35.5,50.85327778643946,27.795095701459136,40.54204031658978,40.92749846382421,39.7059278043233,36.31346836394985,24.34885451727396,49.68447086768712,31.91531727762136
362,45.75,54.95669222374057,30.426714326329595,43.114407494703634,44.037103460293295,41.42098232709998,36.04649843631061,25.058571402368003,46.572844539009694,31.944426662509056
363,40.5,54.45039069306749,29.620738373212763,39.89453167273494,43.75392619019232,37.68459192751085,29.03632757687757,25.056540898960904,36.54398827920797,31.9651755826004
364,29.75,53.03656602804553,28.198670634738665,36.34063345469886,42.92903188825812,37.26725102488146,27.883106193310528,25.28594376220916,37.69196557131983,32.03571310656016
365,33.25,48.191803241101645,25.746161853315847,29.13006639947908,39.96328631565432,29.83250685547108,19.52503141135578,25.22376853728551,26.954157304401257,32.13704751598081
366,16.5,41.65688390179481,23.066581527371444,20.918329099296567,35.262753469005936,22.86299375441364,13.280114548272604,24.469448444106128,22.974842026101232,32.19410704623201
367,9.25,48.7479300604382,27.509739354531032,30.74493841540028,40.16529480818438,40.76434283775232,37.776362610856864,25.67646624540293,60.49184084301659,32.22984537358878
368,63.75,60.00399910122252,38.08943432046003,46.34480451589828,48.87514192430093,51.55930601538928,48.3038422737236,28.651335326540533,68.82717655474747,32.341513889780536
369,63.75,69.10388262699817,46.582610031457214,57.92347597604483,55.22981785999248,57.6362597100067,52.60075433109862,32.5309211552042,69.39027348514725,32.54479901317901
