,Actual,Gru_predicted,cNN_1Fea_predicted,gRU_biLSTM_1fea_predicted,cNN_biLSTM_1fea-Copy1_predicted,vANILLA_LSTM_predicted,cNN_LSTM_1fea_predicted,biLSTM_predicted,sEQ2SEQ_predicted,sTACKED_LSTM_predicted
711,96.12,98.32707365938984,155.79558455314972,90.42079262472625,122.72063594605793,101.91019594779478,131.1726481418258,118.55860605918576,116.76491783821096,102.47519373073166
712,113.0,105.67088258196004,164.01219528587717,90.75306362259556,125.26147571531573,108.65973463685566,137.9090518524293,122.58425717086624,123.87861505083472,101.9170949778864
713,117.41,109.98290304529536,164.70148736581064,91.66539702418504,126.9563424080664,109.29241890832662,141.96657558909038,120.34222884856896,121.81187871557428,102.19412903288378
714,112.4,110.2095428891266,160.25502521996594,92.50531296088168,127.0938163856592,107.31831285506333,143.09908937545117,116.21254095913504,117.72666200391248,103.00130065289278
715,108.11,106.15903738826066,150.97033138363423,92.74619043592791,125.19224700299225,100.45234744543863,140.80101202142663,107.42940512039426,107.3981285239313,104.22074519855084
716,95.61,97.03375137897076,135.32486590922636,91.4879518841282,120.06102259394812,86.37450402562258,133.19844476828112,91.05359610190074,88.17034539961733,105.5698482978642
717,72.14,85.42576818231849,119.35589105615846,88.55900814561151,113.66021274019978,73.22969109767091,122.57673976118755,76.31983074878237,73.29797361472262,106.67942243665247
718,57.78,76.15523002328062,109.97316542938847,85.29493247234085,109.31541815875092,66.7351706602372,113.62690964677684,70.15763346171326,68.7099844973652,107.6910169374978
719,56.34,72.96121005190163,110.72481699297968,83.46969944207017,108.3392277518532,68.28306417089523,109.386256148072,75.21018955678586,74.07182724059575,108.76850984132427
720,65.36,73.97983768925506,114.5003149358082,82.17803114078752,109.27631868799398,69.7090996511225,107.88150765173437,79.0615842809789,76.41673008503709,109.26477063546476
721,65.9,75.64318192377924,116.50836481315088,80.93690605780044,109.8173039720266,69.59287409018343,106.6093145822655,79.98383410703055,75.64687730058859,109.0919596171326
722,63.64,76.68001823234647,117.32866396126084,79.92017081099051,109.6930618275253,70.42457228369317,105.81017444653163,81.68951126701984,76.58929524160575,108.41758315085296
723,65.32,77.22189755915554,117.1729366103154,78.97113695342759,109.67592600764326,71.65072215017463,105.77234153637468,83.01924343951003,78.00733648934023,107.29539555856022
