,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Actual,Gru_predicted,cNN_LSTM_1fea_predicted,gRU_biLSTM_1fea_predicted,sEQ2SEQ_predicted,cNN_biLSTM_1fea-Copy1_predicted,vANILLA_LSTM_predicted,sTACKED_LSTM_predicted,biLSTM_predicted,CNN_1D_predicted,GRU_predicted,vLSTM_predicted,transformer_predicted
1101,1101,1101,1101,1101,1101,1101,1101,1101,1101,1101,1101,34.37,56.47323173,98.33679771,87.88274387,86.93287104960015,83.23695294758221,47.04063346,67.86208501,92.86181788781953,41.03235301837256,71.97283221151625,48.54841149757664,105.99810476601122
1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,25.18,50.84023649,98.33406387,87.75194398,86.93269226964068,83.23739989748087,40.05192372,67.22974029,84.34024877242999,32.836219297946464,68.56320041792144,41.496607327278014,90.89864702522752
1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,20.68,50.7812689,98.33206005,87.62810162,86.93547080817737,83.2343829856649,35.22412735,66.17714349,78.6645586451226,28.73310004158729,65.29967654619931,36.659007853282176,67.2425055205822
1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,18.29,52.17309323,98.33076389,87.53807101,86.9366999203987,83.23311662761868,32.03008929,65.21834656,80.36103147714498,28.92610231928588,62.54884890323267,33.474270074946745,50.48959684371948
1105,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105,17.15,52.50779167,98.32995938,87.46080082,86.94110982606549,83.23611119193973,29.95325464,63.71245317,89.92423222969687,33.20182431505219,60.42943483127117,31.41380497003632,43.1849136352539
1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,16.58,52.01536462,98.32951243,87.41421374,86.94378407629249,83.23542586876178,28.98284075,62.45256472,93.28305326897876,37.32240813870159,58.95519293802865,30.46907579548644,38.23041887581349
1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,17.37,57.35794298,98.33062236,87.44307181,86.94508023099861,83.2372881600062,37.79271862,61.21160833,104.39411601224782,50.32725719592246,59.305884726849015,39.65919256929499,40.520708590745926
1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,45.81,72.80334706,98.33396703,87.57586062,86.94552718089727,83.240364665142,55.18052971,59.71281399,108.10056723354424,73.8727193915848,62.46062471781923,57.922999392893054,41.74860301613808
1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,84.42,107.8714756,98.34102884,87.96509439,86.94854409271323,83.24213756640668,97.22699132,58.07687307,100.86350233025011,127.04376397518637,71.4007214428986,101.7086324444656,45.51082561910152
1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,184.28,118.9009328,98.34246653,88.15664222,86.94474501857461,83.24329218697824,89.22730325,56.44924914,63.246977195778136,116.15861205819614,77.902658051203,92.49406006203525,48.5570850521326
1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,82.06,99.34109414,98.34600488,88.22279825,86.93780984598037,83.24190664229238,80.07069282,55.75110223,80.36493483959329,81.32052862126315,80.8682972646317,82.57779868620008,60.70665603876113
1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,67.84,74.17618347,98.34350196,88.20328144,86.93414485681133,83.2423312446961,72.38664822,55.33900697,87.55802732202403,55.96197691585249,81.01011446747724,74.46196323965115,81.36838665604591
1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,60.19,61.44814911,98.3409171,88.12069255,86.93329565200388,83.23587281866044,63.48549201,55.38137782,84.99652020696574,42.30992205787373,79.08535452554813,65.28789941636957,96.0124199837446
1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,46.85,59.51539249,98.33839184,88.00032894,86.93397352601684,83.23932923121009,54.32699694,55.92820613,80.55409148587214,38.291820121405095,75.86248819627433,55.94363707167738,119.04283152520657
1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,34.84,60.6056858,98.33611239,87.88141792,86.93454711172014,83.23553015707147,48.13189889,56.792421,78.51380989346879,41.87678291108013,72.32844789838687,49.66200951758859,129.08360862731934
1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,31.94,63.10055641,98.33491308,87.80186084,86.93693829367797,83.23788409320441,48.38054084,57.50864704,74.15207052741368,52.112635811953744,69.69843826219362,49.93435471375594,133.59592068195343
