,Actual,Gru_predicted,cNN_1Fea_predicted,gRU_biLSTM_1fea_predicted,cNN_biLSTM_1fea-Copy1_predicted,biLSTM_predicted,cNN_LSTM_1fea_predicted,sEQ2SEQ_predicted,vANILLA_LSTM_predicted,sTACKED_LSTM_predicted
766,51.27,97.28556195178136,114.60579694574764,60.91250041824643,75.5799933765474,108.93555971966911,123.00363457381728,126.65144733228972,132.5215918290433,78.47782204101665
767,150.2,95.44827555350012,113.44120098794475,60.90465463154285,76.33407190260812,109.41857896961612,124.4388117490458,129.661552297808,136.46551976310215,84.52411710376009
768,144.85,93.84887115838322,112.88845266018348,60.90076267140029,76.69630540685914,104.19921295276949,126.19113868213412,125.64455449933854,131.8406675306911,91.31313539266851
769,127.95,92.05000943017995,110.06140480264216,60.89834988108071,75.78611541016689,100.03039496342105,125.9621316979076,121.4189993800506,127.07887679314848,98.33432147736436
770,122.73,89.73090736500158,105.42106346873892,60.89733752150605,74.39143261792451,95.86939463967688,124.49307422224727,115.80032500164111,120.81381082632224,105.34189695000094
771,114.0,85.73261009756396,98.7450919990002,60.89953096725113,70.53401643373975,87.03730537205928,120.92836493641424,103.40095617971484,106.99586752619172,112.0841667234398
772,88.75,80.99491914211798,90.65165402236954,60.898895430407045,65.57767830704786,80.8500279901055,115.64325178941364,93.77711736141966,97.45014912174072,117.8263602183968
773,84.65,75.67909213046634,83.5282927354918,60.89531280235674,60.88431182831216,72.28371123193395,109.60694534114012,82.62986860674496,86.39378775999054,122.62018651225738
774,70.83,70.36682524998558,76.66563653596697,60.89413171618631,55.445522497879054,66.6620166474601,103.09730454951712,73.24910857076402,77.57813808702136,126.7288590944316
775,64.67,64.750951733066,69.88243369039293,60.89274815810095,49.68807049444406,57.91231095233992,96.01213733970314,61.26886223696447,66.15170305853644,129.66962867752576
776,48.899998,59.57906538027064,65.30634906838094,60.88456491820583,46.36196311191732,50.079949261572885,88.83623459090084,53.56676310235614,59.15149531391539,131.19869657908365
777,47.749996,55.50566228083338,64.81520844495725,60.87767524887832,46.08907034012953,47.07552757022234,82.67071731558227,49.75811452857042,56.023506700148495,132.35897313603468
778,49.95,52.53712030007454,67.14840480510277,60.88229835760257,47.30967227929023,50.19437401460812,77.66817059852728,47.26033099846556,54.032274155881495,133.24388788867972
779,49.500004,50.69428842101214,70.92416294115195,60.88595972473091,50.065849342385896,54.09780756568078,73.71731924982178,46.96302067615909,54.14522536331362,132.38583441008217
780,52.650005,49.50456344887839,74.09058184921669,60.89034661622107,53.57534003764141,57.35977634493332,70.52471397409265,45.99007844638791,53.397974640161976,130.23309676833864
781,50.680004,49.714301855867326,76.60522116623955,60.901195736329456,57.313174059180064,68.23230445636598,68.6589296537849,51.25457882760457,58.973848705443,127.21228328820848
782,65.67,52.75710041142706,82.81818998451011,60.9128209987784,64.02508991803886,86.96892610701124,70.08816765284213,66.87006216427142,74.48136389347297,122.80964398243408
783,97.25001,58.66338052077596,94.18689802036027,60.921285449666485,73.75756616713414,105.819561942642,75.43357243673324,86.00173464204609,93.4999783036382,117.2505638376526
784,122.53,68.09781811109302,108.5048007206537,60.935885924420944,83.61784156408983,133.5359536259675,84.89969125751712,112.84778955060156,121.48862722190738,112.0164736132146
785,165.57,81.59452846974601,125.03889351114202,60.95267984492049,94.85966719991669,167.13050994356578,99.55180759872307,145.82281555383054,158.33898817379253,106.86386708609652
786,217.45,94.14226421155776,140.01883437950048,60.95104319694146,103.38336361999528,171.02170519222486,115.26073734835036,159.16321759415692,172.49888404136183,101.0429120162314
787,197.45,102.1822439784268,147.59005791798543,60.94524462626664,108.14437821519732,159.9171442662814,126.27543448938368,157.70636467559103,169.20279874444344,97.83779285131556
788,169.4,103.91061173491497,145.9356936464045,60.92888377069625,106.9050926176644,135.5913697672676,130.47757035717794,143.33493065067785,151.34329105349855,96.93816513951889
789,130.0,99.7374855931544,135.42949347128035,60.94689252268538,96.75426439856308,123.48034344908228,128.13871603185407,122.51878182819615,126.83152360374127,100.85929248626856
