,Actual,Gru_predicted,cNN_1Fea_predicted,biLSTM_predicted,cNN_LSTM_1fea_predicted,vANILLA_LSTM_predicted,cNN_biLSTM_1fea-Copy1_predicted,gRU_biLSTM_1fea_predicted,sEQ2SEQ_predicted,sTACKED_LSTM_predicted
898,180.9,57.98585848178397,130.8224116440579,188.5102782502245,51.21447079879664,166.85309906110407,56.634010385103664,61.12461886490873,167.84408108778388,142.08972337072916
899,181.07,58.01025718073732,127.72591502250944,187.3721590313833,51.21453412366415,166.7885523961478,56.633585735992106,61.12342686740261,167.5731847545498,141.8849679991158
900,181.43,57.95382727379926,125.2269965507154,184.8387173318184,51.2146719483758,164.91738451098186,56.63282583758196,61.12224604487312,165.6658397450732,142.04223717007918
901,175.38,57.64089440351351,121.40607089480832,177.66900133220855,51.21503327261984,157.77582945245408,56.63241981343144,61.11976147507131,158.85162210169415,142.46779517973204
902,155.98,57.1075723693232,115.12415463775498,169.32251559462168,51.21539087187168,149.69611275673637,56.63274388775341,61.11453531100542,151.11725688343637,142.78178222281227
903,144.58,56.62704092468508,108.44964655207735,164.0241313798349,51.21563672135731,146.179898913315,56.6331834368338,61.10639247804176,147.72073448959807,142.7147621630308
904,150.25,56.1804143591116,102.40503464853884,155.95128356974618,51.21602784553901,141.50060840326813,56.633637885883005,61.09529200126603,143.24034366341576,142.47481306504932
905,142.77,55.69253722984203,96.84784542522068,146.92909914584766,51.2163034949623,135.60984612784733,56.63469578366968,61.0840723247397,137.55537975742618,142.46618598309877
906,133.7,55.243157895027856,92.83643856783596,140.13627785770345,51.21649346956483,131.60154591396292,56.635254532500674,61.07428677021292,133.6968242302478,142.57315285930403
907,133.32,54.799757172705306,89.87842970654512,133.6617348036615,51.21675049402709,126.78280659566909,56.6352731574617,61.06692246062043,128.9856626868811,142.87222503358896
908,126.399994,54.26009147678713,86.88161387644573,126.41906855667727,51.21716024316982,119.6084194558322,56.63490438323325,61.06174472145323,121.76370739656568,143.24625895103986
909,113.43,53.57684595626487,83.68304501845152,118.71152328230716,51.21758489228137,110.52086886869192,56.63442758423081,61.05791542946483,112.3596293216603,143.41717649344832
910,99.15,52.82877812136304,80.68782348501657,112.89674339791694,51.217856816712455,102.1557805200252,56.63359691096873,61.05535263482668,103.6706901505502,143.1267761010204
911,91.3,52.16381486259086,78.54061877737142,110.48100400209673,51.21794994151762,96.62330289500574,56.63163011508363,61.054842310894365,98.04173522737936,142.20381243203343
912,91.3,51.68343241764101,77.22522717941727,112.60234236385912,51.217938766541,94.05478666882328,56.62993151863741,61.05868277785939,95.67103098733712,140.81793653154568
913,95.15,51.43173469423984,76.81888267956616,118.46261930306096,51.21784191674363,94.27838305101773,56.62970056912061,61.06502271459505,96.35842614917756,138.82716659660966
914,101.88,51.575727992978855,79.45102177263765,128.37586656268894,51.21740236766325,101.27953570329366,56.62982721885563,61.07003282911296,104.37777562119484,135.75588072231557
915,124.85,52.14614349956266,86.49615913288933,139.60877426133987,51.21689949371535,112.527991519415,56.62933551988436,61.07373174637413,116.82033728902285,132.0878063966148
916,147.3,52.88990524347364,95.48426732808171,148.20185448300484,51.216594044354416,121.6924482956531,56.62906359545328,61.07862638613362,126.64501168396188,128.70856796661522
917,153.62,53.54412189972973,103.06482761812823,153.14557473981512,51.21643386968953,126.8776001973431,56.629614894299856,61.08405742477087,132.05820015855662,125.8702282049542
918,150.93,54.084014820172506,108.34808091457172,157.32602919352055,51.21621409514934,131.4076377196552,56.63043811757752,61.088546040379846,136.55445945153917,123.41822228501032
919,154.3,54.63767903680316,112.45862471454338,162.47858741340266,51.21594589571046,137.9855269574776,56.63085904169687,61.09152975913735,142.89311478988367,121.23332810621862
920,165.78,55.21408433085521,115.57994468415674,167.28770135183458,51.21570377121703,144.2864555747535,56.63129859077725,61.09476305237269,148.78649945981792,119.65116746639534
921,172.1,56.02039614389971,119.43418667035984,178.41559407019653,51.21504444759646,156.45029842571353,56.63243843839247,61.1007342148799,160.01316407153055,118.74130087000684
922,198.07,57.30428548276248,127.3067937993896,197.20327766283967,51.213956749872125,176.5790984124898,56.63483360838133,61.10997592054452,178.54245240478514,118.47168593409184
923,237.75,58.79040464852254,137.77868559022852,211.50772453525485,51.2129286520231,193.67787053865248,56.63813022648418,61.1184614527912,194.2007104447734,118.92978547566172
924,250.45,59.78724981293555,144.50456131843538,209.5664522967604,51.21291747704648,195.992312496406,56.63904657456701,61.12120677204747,195.9932958943485,120.25351360617428
