,Actual,Gru_predicted,cNN_1Fea_predicted,cNN_biLSTM_1fea-Copy1_predicted,gRU_biLSTM_1fea_predicted,cNN_LSTM_1fea_predicted,vANILLA_LSTM_predicted,biLSTM_predicted,sEQ2SEQ_predicted,sTACKED_LSTM_predicted
110,34.25,58.89085035354971,22.10723378302778,88.46586067114832,54.91767427570458,59.19108605335804,47.93620193145446,34.993960307051736,52.051843410952245,32.68868044792135
111,34.75,57.22434815704761,21.50711272320405,86.23006181387969,55.2123705714574,56.60794821941176,45.37534644203344,33.330260828892946,50.73881755734292,33.11769078386236
112,33.75,57.47018030576777,21.49521034144373,85.47829498243715,55.49491319460367,55.01365637352458,44.14366178453186,33.69668690444528,50.91384071461981,33.60285453561635
113,34.0,57.99592844630722,23.59830928950723,86.01547777359978,55.555758595706045,54.44331052761906,44.39269284738208,35.23114218109449,53.105907627686015,33.95892082504104
114,36.5,57.456984784981245,24.21875922851876,86.56297632913598,55.9671235452186,54.141446022909655,44.09911176939938,36.20131193998368,52.69523968927979,34.40086621972358
115,35.5,57.96746104533324,26.343692966607662,87.15029989819969,56.33027733705072,54.84550794684373,46.31120491209406,40.12431789209168,57.97791621192806,34.64322064987115
116,42.0,60.45444069444317,30.722599209442667,90.19068435485202,56.60921751332117,57.22087043847501,50.40830589616369,45.11784119152215,65.71458908443923,34.66393288516742
117,50.25,59.06736658198593,27.923057769381035,94.58601438043966,56.58532470629236,56.79653741390537,46.2399300237534,37.95624650348047,52.8519241175014,34.73169337014041
118,33.25,58.395411190696734,32.29651632014821,94.32360070434808,57.67491081009199,55.69297807166375,46.20764006713318,40.67543723690124,55.11741197941983,35.21596201289471
119,38.75,56.6746815301228,25.73447224336693,86.94465961095774,58.75377027981328,54.29490585764465,43.23421636692132,41.37596274659061,49.00893504039913,35.59933646376918
120,30.75,58.52270742958813,27.098471619725416,80.11282087731688,55.40817933362069,55.03083219457616,47.23197859442208,43.66083485422379,60.33876619862982,33.998283610150686
121,45.75,61.144103836312446,27.02272852334529,78.62257444720599,52.26840109320689,57.46688601117052,50.32643277052743,41.912719994130434,64.87116162403588,33.039930023753406
122,48.75,62.35838522703303,25.59391811953741,79.64954327430138,51.69990049249338,59.07445775287288,51.45439850692884,40.383998550950594,64.51203215422288,33.29377046323725
123,47.5,61.19533415262709,23.7825513357851,80.6000096297587,52.00982831515908,58.91201014334584,49.66491420343553,36.53302319396168,58.97122673954713,33.98641974742519
124,41.0,61.73819575006649,27.328441263057496,82.34883250639692,53.00578014802315,59.49993534304869,51.84412309582986,39.55898318919266,64.83397791575337,34.91124709960839
125,49.25,60.592657996826766,23.25652439080312,85.03837091996294,54.08310986179004,59.05031915771711,49.08280721223071,35.645573979474854,57.16051661362657,36.01201106046571
126,38.75,60.12099058117887,24.53203637297431,88.94360675733925,55.4595453836771,58.17328842503004,48.735035354971245,36.41344910443244,58.10611122829865,37.27716692498876
127,41.5,60.16412089474216,28.310992140282657,95.60803809715968,57.35345295633592,58.001764997202784,48.73872951383476,38.53260131881838,58.75444894852206,38.63218586351422
128,42.0,59.710612452653685,31.445403395177784,99.05124361455286,59.70479791263516,57.54399011344773,47.81142593798435,40.90878188137972,56.82431147225254,39.92091904582848
129,39.5,59.533421223988185,30.148940726542367,95.91974880086576,62.55144996652513,57.238493814026434,47.89114199767052,47.767804048167136,57.73820675550501,40.994165741904126
130,41.0,58.04184313581628,25.533190109779248,90.19148408338454,59.92252950833203,56.069884993167456,45.33625879288682,41.87680191127782,52.13079642690096,38.931933655548114
131,34.0,56.19655759054266,22.37403862908921,85.53672652402396,57.37661573594284,54.11909030879426,42.843637022295184,36.54350770839256,48.51139383878867,37.46399891779855
132,30.75,53.73653392884984,20.043211478672376,82.92374194080908,54.796805212909376,51.501681539294005,39.0724657685006,29.2655268395132,42.41310426735879,36.49061923934077
133,24.0,53.96129433128204,23.51584553867036,82.01768619826298,54.42691976118199,50.54982116162404,40.25898043783303,32.341535900657576,48.42284041197025,36.73811687775709
134,32.5,54.2890766437081,22.48708649357557,82.45100699762466,54.13865431000486,50.40407247081266,39.95997367865954,32.34509432577932,47.70549492374148,36.90114043856673
135,30.25,53.75351165200804,21.4277470033108,82.83346066014289,53.99904298540862,49.64160835312784,38.85012656254299,31.36401450883645,45.50335803442868,37.03408980437833
136,27.75,53.81388748773352,22.807009088657978,83.46420435265094,54.07340306501463,49.43100094463348,39.54812082137256,33.13828562781441,47.99928877353559,37.08500096297587
137,31.250002,56.62685556279061,28.89287902271706,85.48362161468125,54.50125782991095,51.59986472481818,44.41081513614645,40.07822711556628,58.72084934471785,36.98489182571054
138,43.75,59.59058347166558,29.92732054256812,87.3275461540578,55.42143355007933,54.64060135550318,47.94746783202032,44.437396938653855,62.9610870621899,36.89818364408412
139,46.67,63.00218870658584,32.343612260058514,89.45870530187001,56.26698506011721,58.19860093362804,52.92595036547227,49.877752047470125,70.84409191375404,36.51879683043371
140,55.33,65.11781551216559,32.42448755926887,92.47672670744792,56.47515659821895,61.37098461989967,55.7031837816521,49.99946119207242,72.44329952218054,35.86840843016591
141,55.75,62.87171556444143,26.431171528930548,94.20835175215753,57.489729633060335,61.00149536395902,51.58987912360025,43.27005007474527,59.70521978777846,36.01186432128544
142,40.5,56.208315067362456,19.48175435861221,92.24887010831186,57.23179517044673,55.84840421141448,41.67688078358722,30.763664169043537,41.66757751955758,35.97414501499491
143,19.0,54.7342172840412,24.67986509166613,88.98785595715216,57.7480126012271,52.94076735420087,42.15519915258123,35.360877958858005,49.09663737997194,36.2636577492044
144,33.75,56.98338041215367,27.395611122829862,87.95632354155012,57.45518723002284,53.72980593743408,44.806816493483865,40.03470794317525,56.15951328448141,35.92864853214964
145,40.5,58.318006273099954,26.036677916670488,88.31188724928235,56.91687087869256,54.41950943257793,45.07691563414254,39.8149293359135,55.11949567577978,35.49074580188376
146,37.75,60.6010074561846,30.543324284417217,89.10231985472821,56.73423929491824,56.31711850105928,49.31227427387034,44.899764758751616,64.15737822940837,35.1545223181122
147,49.0,65.6921086420206,38.13157781303594,91.91957271384943,57.70942753377294,61.453547419683225,57.88507800104552,56.06687683997176,80.87419912506763,35.11316388015077
148,67.0,68.25122527215532,36.70093683795409,95.44753478177132,58.05112072048937,65.6159069857021,60.44136256500087,55.52073195337363,78.98855663673798,34.857870722782174
149,61.5,65.28958839659931,28.949755128992912,95.33742170089052,58.51439098654585,64.71730559351413,55.02093830534589,46.300702055265646,62.68564294688959,35.07967433073177
150,43.0,61.2251882388547,25.97336362885993,91.97823170116564,58.187063565578654,61.37904793785596,50.17851233984794,39.9701867256069,54.99228748039656,35.26122004457203
151,37.0,58.99873299889028,25.12090437191045,88.11948283610151,57.43662839219714,58.70983290075846,47.57679732567844,37.42269550702972,53.47659647642544,35.46812228876436
152,36.5,57.92441877527812,22.989906637196547,84.92623283839431,56.592192099929385,56.69360721589919,45.40587552849033,35.49150884562121,51.54083888955125,35.769638287920614
153,34.25,57.22404734172804,21.95453332355072,82.799769344351,55.43295624421068,55.09413547694819,43.9872194759577,33.757906490457366,50.69003778533892,36.006526683602814
154,33.5,57.502433577592925,23.8864390069426,82.61797417390427,54.87341040197364,54.71424241312582,44.87376991296532,35.39784889532911,54.319161844144645,36.47120564578996
155,38.0,61.43469143501747,31.947585223364545,85.24382778322955,55.22299448810954,57.74698909544467,51.82056045195667,44.83280033383164,69.8713578876895,37.06063492209066
156,56.0,63.83360556508341,31.33881205462366,88.73724011115493,56.442573163238166,60.84424232141383,54.07869301246366,47.06821400075204,69.63503443785137,37.93908535634693
157,52.5,64.16197116575107,30.635975402844903,91.57436145528582,57.136484404376496,61.99477287526253,54.3394925575722,45.93043508166952,67.29765538303512,38.47747874574686
158,50.0,66.48973146730009,36.27850041728954,95.3748988875336,58.44002723846034,64.4296674523327,59.01316112879115,51.89573493401323,77.19826526775314,39.163906288691
159,62.250004,62.367666480185626,25.13667149683135,96.7287292386988,59.358299017764615,62.41414611553876,50.37632409182204,39.89437025963664,54.43075699074626,39.97478333042912
160,32.25,62.76388427781395,32.85085292148537,96.17390839806671,60.48726624907142,61.54473114630813,53.84418179150197,47.631861203077854,67.14826756055284,40.63679347377496
161,53.25,66.40755752634426,37.68444151985106,97.089017948036,61.1759865917074,64.6452493190385,58.9483794491778,54.91384071461981,77.44004007813861,40.78045113126737
162,62.500004,64.8894746737346,28.2490498638077,95.3648325797665,61.17980914735365,64.23694021295523,53.9962916257784,47.15743142236121,61.737175912763554,40.82595495107165
163,42.0,62.70449159459633,26.06334042572705,91.16499582710456,60.16275988884507,62.18712592973028,52.203461668974754,44.17299494666948,60.518749140200114,40.4908943753038
164,43.75,62.37901675578015,28.283284114566616,90.37283903629044,58.85169667177197,61.85435815365427,52.95288067353284,43.56990058420536,64.18346845566184,40.16887157570366
165,48.25,56.81338307180132,20.1173184331924,90.17839494850372,57.68289342149912,57.41608490695819,42.51725240056128,29.09281115584618,43.20572328659079,40.572653778075335
166,19.0,52.28393710391885,19.376696442492,87.59533048414758,58.04214761961536,51.72437291928428,37.26217751772335,26.51336197804415,37.76302401936957,41.84312526940396
167,19.0,51.58865018296542,22.137938956501003,86.6562804369159,57.73393297687941,49.320924548547744,37.09402909104249,29.70584709777415,42.23891752340949,42.3350647028073
168,26.0,51.91024743894275,23.662316919944605,87.76491695479515,57.24574639801168,48.35136742573622,36.607287893100505,30.85972513917294,42.61122050313197,42.408481983180025
169,25.25,51.369575923769,22.984079257499747,86.95974439869035,57.26297724625586,47.128340379871055,35.25612819501637,31.6182768234636,40.48144070361437,42.45322275924686
170,22.5,50.32080532296376,21.23044516998817,83.2876771187762,56.62166099580876,45.840205159716426,34.13420444436292,31.97669827673176,39.41800719021983,41.81794849454772
171,21.5,50.042426424057886,20.79326513018517,80.0489746599778,54.554160972880766,45.22718389170649,34.33095967423902,31.07608655777397,40.93119262268771,40.22463613268891
172,23.75,50.78888496565386,21.336915450718564,79.25739748892578,52.73341021854967,45.44842622229152,35.38162321046984,30.37566743399029,43.46338261324138,38.8208080743234
173,26.5,51.632829681667694,21.3589263277603,79.89097324761319,52.28493493034475,45.88818887166742,36.05966094078157,30.494210680778085,44.30328099635904,38.198399167255154
174,27.0,51.434508011042126,19.65687656483579,80.79927409961756,52.31870328420628,45.69722983941231,35.28540266148188,29.202652769243468,41.96017911351193,37.76096233388666
175,24.0,50.920968570301824,19.489238056806403,82.19772049854636,52.48704247182149,45.22059530251199,34.79888524078982,28.67997514605134,41.34188257197098,37.28276502471638
176,23.75,50.4361569925805,19.751578363307868,84.28645001238112,52.97393040894375,44.77220072085623,34.26835707145281,28.71882617826976,40.65857690508727,36.853123710300174
177,23.0,50.65700679585829,21.69288269119657,85.61254665847373,53.82477553491017,44.72655016187166,34.72359703586856,30.91868861028825,42.15374276621697,36.39820657208104
178,25.0,52.70393398571128,25.021947137210304,86.3455015270046,54.878212441648245,46.194624301842495,37.93077625026367,37.06890367489935,49.193364179131855,35.71097930060438
179,33.25,56.04482927813495,28.544002953126004,88.31094811852857,54.95127387950879,49.2391614772967,42.6244783880701,42.21469822170456,57.38973421865972,34.33356429468896
180,41.75,58.86798472078285,29.429801351834698,89.85433614277723,55.43737676201656,52.54325825178609,46.34679283179104,45.50010776158552,61.59249474948871,33.21339774571934
181,45.25,58.489386630226434,25.47206590423434,90.75510927483332,55.84014646404432,53.642246668562045,45.22551473353082,42.42744435375148,55.14370397204619,32.28137283674349
182,36.75,55.368501059273456,22.916232563258344,90.51778799856928,54.5844516081697,51.85065665783174,40.8697529279052,33.73288379174042,45.31217155644414,31.09490585764465
183,26.25,52.34461742344342,20.81715060025496,86.62261846896008,55.224652640846685,49.07421930170493,37.158961178315614,31.846181112833257,40.23437961425938,30.96469317754524
184,22.0,50.13530498821501,18.66655584801489,81.51161945027835,53.92842475489972,46.34162027568623,33.81035841044783,28.516142685510424,36.78467721965938,30.208894687124555
