,Actual,Gru_predicted,cNN_1Fea_predicted,biLSTM_predicted,cNN_biLSTM_1fea-Copy1_predicted,cNN_LSTM_1fea_predicted,gRU_biLSTM_1fea_predicted,sEQ2SEQ_predicted,vANILLA_LSTM_predicted,sTACKED_LSTM_predicted
729,54.882847,60.106877267644734,39.44174885449722,38.41184192861359,56.62464895130401,50.68247608896893,42.36934405037165,37.492875384110285,41.78787612761072,75.66361747847516
730,9.68,51.931949316377896,30.35629485896631,31.52959924804667,47.5152532300226,41.44626245853215,38.61133877607057,31.416488047693026,34.39850949894519,74.88998857927055
731,20.05,45.31599308882832,26.169070320821703,29.16851092525216,41.7504805843648,36.51251087669703,35.35511436234848,29.406481644485147,30.8465195984124,73.89880032394744
732,22.14,43.87116233886398,33.589328128335005,39.56521645962666,41.9404484874002,37.6571576229469,33.673638043596185,39.20470675214098,39.30793496024423,72.55573303564023
733,50.07,46.40841069936965,42.39098749993045,48.35255409076345,46.62222726415483,42.21221560080779,33.88461008696805,47.57703154145723,46.622757324332845,71.2429722414806
734,56.55,52.10400037614421,54.22645034665708,59.53681575436339,52.988711275860666,48.0556799284659,35.50043986886448,58.58242419567288,56.56937298113709,69.74770889564769
735,71.96,60.66065258080004,69.29901902434914,74.27081355117433,60.7786779650178,56.25479642739819,38.6183792700381,73.25227257216127,70.04353912263281,68.29476134631618
736,92.91,69.63090143596109,80.34458295678871,83.1294058367756,69.10557538319988,64.51871784091898,42.123355665163565,81.96066765312189,79.63168843370632,66.90563951643516
737,96.0,77.28877389174811,86.50406835332734,88.11483626283676,75.71976339473576,70.95612471369543,45.67824673476229,86.90516610390975,85.868732559193,65.93464210300743
738,97.42,83.09129815161111,90.51279613809054,91.41885915658094,80.24095012259538,75.81981124177092,49.08943484846626,90.11909495243492,90.26628173896536,65.5320472358917
739,99.23,87.6555128178907,93.45837696366938,95.4393210979567,83.62260457798384,80.10734258764833,52.19203082830375,94.07496238478905,95.06764775664548,65.6006070805962
740,104.86,92.16500585174676,97.8223259929208,101.78533102950406,87.13825500936584,85.01887210461582,55.19658995277381,100.23497379524478,101.858689739637,66.15337487478719
741,115.06,98.63000013134544,107.30346788820964,114.1800963817766,92.58571178265484,92.41020116981828,58.54008007534517,112.23246106722534,114.39279213229224,67.16762681724532
742,137.14,106.17645474696582,116.54852664497577,123.37430173154046,99.662970076731,100.69724291812668,62.26664590244642,121.00302290066708,124.41249944601,68.91382307910719
743,144.05,113.15346288096178,123.46018766542252,128.1784758542858,105.75418695935,107.36629013495671,65.79521604488492,125.76789973754308,130.64809501009415,71.32215756731081
744,144.87999,118.7315086785658,127.56063609228688,130.99155782040444,109.72568914382512,112.20497886318655,68.94187985219388,128.68271279523162,134.8897741274428,74.39173201193621
745,146.21,122.70966291596194,129.12555177326752,132.2865717142528,111.9048757846901,115.60657329229456,71.41444468593808,130.2963616425025,137.60878052761598,77.97274574191101
746,146.63,125.89235463033232,128.75120789976174,135.00767407757263,113.65676108937862,118.69094086677356,73.49098578026957,133.23739447082875,141.36120196187386,82.07541961227085
747,151.99998,127.1270873292794,124.61568648340857,131.1814326594391,114.58775716754025,119.74725773755723,74.39940372260429,130.40400836750948,139.39327869516558,86.45612016165191
748,141.23,126.371860824652,119.011129584382,126.85175546001814,112.77018486338685,118.35200986867228,75.199276670012,126.29085468141638,135.74516177441058,91.59838366023118
749,134.62,124.18284176979785,113.76562169265588,122.03130727592944,109.03471726230369,115.91654924738916,74.73816477774774,122.1277215806756,131.66258163568452,96.47565753241182
750,129.48,113.35194007067174,87.04835518467009,86.63528859434287,98.69512874680598,102.84307218412484,70.24898397361407,89.66741894059153,100.32872566031816,100.80193587267604
751,54.882847,99.06698821611865,66.30123334062714,68.64086231873384,82.79341242408836,86.13916845276421,64.58863318302528,72.16551163435938,82.3001489427057,104.98954885186714
752,54.882847,85.83906537426775,55.93643257345608,59.107135216777166,71.0015480385687,74.74684805364103,58.373932510233246,63.204528716661336,71.75083463219362,108.30091975540732
753,54.882847,75.79613252297897,51.01035270228902,55.955676590300655,65.29017794428071,67.31325579332888,54.173780168510326,58.74949835453111,65.50028813408069,111.51817463039303
754,54.882847,69.15611318185186,48.69617470524886,55.01201166925838,62.74666597190049,62.42592696280955,50.84242882864161,56.571646979763386,61.74744184242823,113.39063041740596
755,54.882847,65.20103477037343,48.54546362547379,55.67917535163904,61.79228250573178,59.19210264943474,48.84563953666646,55.52761860333569,59.46429866649782,114.17818654663138
756,54.882847,63.174311240253566,49.660520065755534,56.82413365997828,61.92885999618008,57.25893271760412,47.209671514266354,55.69201818373843,58.63186141135983,113.4313600796342
757,56.38,62.183074429799646,51.44058353135777,57.845300662316006,62.42918015657386,56.05775161404715,46.44588312157269,55.59901892319261,57.90300034276255,111.839115952529
758,55.91,61.99730249931846,54.59576876412398,59.963311884620616,62.96823112631086,55.63087513526524,46.1594038035295,56.84000309523153,58.558348943312645,109.37311415396604
759,58.83,64.43453538287618,63.61027966727976,69.65553507232565,65.58799893162906,58.6565436028552,46.62814694385282,66.48602607597032,66.82872818923123,106.15471823340629
760,79.5,68.87579631916071,72.43240300338141,78.1524887436499,71.03592507118258,63.85852181980963,48.196631426948045,74.74319832630843,74.56745303033962,102.87714979343204
761,87.24,73.90408474068398,79.0636338658318,83.98884783716608,77.09488516189975,68.67846017502481,50.4932810217656,80.14514275698436,80.19604471911742,99.75546760092512
762,90.16,78.09978214915503,82.10243245004511,86.6482932768783,81.95017974486682,72.07371815956202,53.04208145714327,82.2090433322615,82.92592746859216,96.89709988280384
763,88.67,80.71114991684301,83.22766523649257,87.07569981583823,84.79461214044547,73.74292216900194,55.399246929994376,81.95219478279544,83.40314347924192,94.2675077560183
764,85.68,81.68811961136043,83.41779094370311,86.26218287667275,85.5688398862634,74.0480911661463,57.22596783004465,80.45314413675932,82.51344353983468,91.7820758126093
