,Actual,Gru_predicted,cNN_1Fea_predicted,cNN_biLSTM_1fea-Copy1_predicted,gRU_biLSTM_1fea_predicted,vANILLA_LSTM_predicted,cNN_LSTM_1fea_predicted,biLSTM_predicted,sEQ2SEQ_predicted,sTACKED_LSTM_predicted
37,39.89,60.36634461469115,47.82348771053582,50.31157407014531,67.2846957291011,49.8565721765539,53.626429082616966,45.9379487823158,48.43166835435427,47.7277020483745
38,45.66,62.11077957089515,50.1768779825216,52.39090308423511,67.58291496376653,53.62266518731688,55.77625745554336,49.99033781578687,52.98868038880691,46.726421695077775
39,52.22,64.16771888117528,51.639273401642086,54.17249703363659,68.55057707995903,55.96788351212428,58.19706523920727,52.24020833649919,55.28260616725981,46.02421945188407
40,52.65,66.01128658764303,52.63833920356539,55.37463635446847,68.81853358597007,57.30254226076987,59.96708121089596,52.44737414425752,56.278720637409776,45.40340828692439
41,52.6,66.60570417359125,51.99622034944047,55.33522070816043,68.95981438528207,55.535094495046565,60.15621063446463,49.14664847476919,53.427106828487325,45.10611950064972
42,46.11,67.74211426240421,53.67725850986296,56.00457096586582,69.67955621216723,58.122835666460304,60.82885745818788,52.46436219519247,56.731019599476966,45.12562523546548
43,55.23,69.23750060274557,55.49444105766669,57.64117495291348,70.53947156267768,60.19051091971048,62.549281793702406,54.78896329932368,58.9982402460636,45.33899262910416
44,56.73,69.90205968276473,54.26945312409033,57.3549757642008,71.03788876760518,59.07334974511674,63.194865620793735,53.00228767024972,57.03933904088164,45.67076273809437
45,50.85,69.68807339359013,51.414626952624296,55.09181372507421,70.51426946282723,57.34472820138156,62.47242928273178,50.306955509581336,54.705833419345865,45.96471706678776
46,48.03,68.12101305594604,47.32968064582486,51.63209505546016,69.30693478763258,53.378500372962186,60.39668733664608,45.02646301398573,49.8175691272698,46.28607120601018
47,40.420002,65.66836793865882,43.4239698543668,47.77416973565306,67.56437756890492,49.55467746023639,57.44277893700087,40.42136237537475,45.706713411436006,46.58172644488393
