,Actual,Gru_predicted,cNN_1Fea_predicted,cNN_biLSTM_1fea-Copy1_predicted,biLSTM_predicted,cNN_LSTM_1fea_predicted,gRU_biLSTM_1fea_predicted,vANILLA_LSTM_predicted,sEQ2SEQ_predicted,sTACKED_LSTM_predicted
649,158.69,121.66759248745495,106.36635960060664,145.16202557962157,172.12135981234692,125.34630011787652,107.63768731452366,150.80733595131184,146.3525960172352,115.19663836715206
650,179.95,126.23772016916884,110.80853100412824,148.94041774029844,178.2497395710933,130.0367819037917,110.14587607888652,155.50074394131957,150.83017970234437,115.14354972801846
651,175.71,130.64707043365806,113.23576890107726,151.0859731257379,182.15121100314167,133.50411782485494,111.4598385119731,159.91095791999382,154.93313480549446,115.03332937386772
652,180.22,134.33484706302275,113.47822687528593,151.3179399509228,183.62668798883504,136.3702639982428,112.3486004084028,162.6392970059925,156.9490288218073,115.425984266534
653,180.14,136.52775781240183,111.30198729884091,149.22842174614527,180.97049882053685,137.7733676918774,112.63807868501377,162.0257174272486,154.95507016747027,116.35195288522884
654,172.97,138.18745907711954,108.69519364695404,146.46391090574113,179.49938508064048,138.95266517021358,111.57538262166108,164.09819961430694,156.9608825544161,117.3995786252146
655,180.3,138.08431969012392,105.93499393166329,143.9887889922047,170.23816505643228,138.76151628608486,110.15405158039684,159.7005839494355,150.66850134187493,119.21049688462575
656,162.89,133.9591313925204,100.61113415305518,139.21322391324884,150.22252698990488,133.83420555978776,108.10483010983968,145.54896953452973,131.93068373727638,121.78119324022656
657,127.6,125.2117989709888,91.9915271895457,130.56877027529492,126.55401826038842,124.33704264681862,105.5147448599466,126.41844491658132,107.69568274372584,124.85863666485332
658,95.29,114.11399497361158,82.46469271599486,120.70388104803526,108.75890001391436,113.8629519782359,101.9940299130841,111.05467465524728,89.81446112797536,127.63885816845124
659,84.06,103.65085709439288,75.02832951114988,113.4527398610146,100.00820953119772,105.63330452347036,98.44285414957426,102.096759780423,81.56520885037129,129.89398612240262
660,85.72,96.22144083208808,70.86125852138274,110.45982873934491,100.91437229013164,100.97849562256064,95.74283148638418,100.25955035905102,82.73403007130761,131.4658863727215
661,97.37,92.15320555001514,68.97240494839355,110.48839087394752,105.9505035579347,99.14028846238864,94.26583555505503,101.07852266016523,86.35035668929417,132.29643691140274
662,103.79,91.29755517928352,68.61828957832971,112.1812855682946,114.14590772358726,99.36474990913784,93.31692638977243,105.2474327654816,93.55639859339306,132.02715167677357
663,115.37,93.23455337227804,70.14983352793273,115.45744282198136,123.70950217068686,101.63335478270096,92.74538586524292,112.00103735284632,103.28497734146356,130.78583058497557
664,128.49,96.79941453813396,72.96367287244068,119.76539601946894,131.84167650134327,104.85067523043624,93.05965869561474,118.12334877486146,111.04949981594883,129.14239097353527
665,134.69,101.6875602936256,76.92901447931204,124.71112768450604,141.7735556986289,108.90599202879297,94.3176584061588,126.26929041179528,120.94925778052443,127.32123472270634
666,148.16,107.07870787473723,81.79068292754434,129.97106516760755,149.94500668726985,113.42750600434928,96.42483807685846,133.12989131674064,128.46090558989678,125.57309210376296
667,153.84,112.79320473097584,87.31721770716459,135.2832648047173,158.75493604978269,118.10783914859002,99.22630992773374,140.69243869653616,136.7051468360651,124.00515302539628
668,164.0,118.24673332452244,93.27571382068344,140.501468511894,165.06645299901018,122.63406632310448,102.2818775568802,146.49747662596755,142.37940652457883,122.67664147577854
669,167.44,122.78756173625166,99.20926646420264,145.2358284675728,168.86377241363903,126.14431990419102,105.58723728499636,149.96382969985467,145.02304205394583,121.79959928734272
670,166.96,125.8128621398612,104.37785128060985,148.76825567661723,169.3338860879192,128.18975890228256,108.56420692330208,150.56941247657477,144.2185518570553,121.27478867854988
671,162.09,126.98883878607204,107.40159550952389,149.9063778149241,167.98451137324506,128.58184046742946,111.405067119341,148.5700332711453,140.52057446533254,121.24918997709948
672,154.62,127.05367691644727,108.78143848665734,149.14589236660012,167.49334094279803,128.32440896540908,113.12382856436837,147.47966857062283,138.69594846613947,121.16736794968864
673,154.88,126.66284624770634,109.3091604079188,147.9120915448617,166.09194978590963,128.19251385270044,113.28984038738696,146.78959072000535,137.70744247295892,120.8912325680745
674,154.77,125.8354974081594,108.3325751596545,146.10594605090424,163.66827843287996,127.68762823665956,113.0390207663695,144.91190586492647,135.25063725679536,120.9690115196018
675,150.3,123.78361778273958,105.01131117723406,142.75434783063943,156.40593129888933,125.69009559259123,111.58551637171168,139.41914528826695,128.13555339135792,121.09229182789564
676,136.96,120.7727399168582,99.35644038301255,137.40155362683174,149.24812336453903,122.65369348337886,109.1453004245509,134.28610677806222,122.04758949982292,121.27772232845432
677,131.49,113.89638367384738,89.55769230321766,128.06740932048123,126.710201611646,115.67667730874852,104.93130592793663,116.39026158766116,98.44898205280104,121.49993513999756
678,86.22031,105.40154618101978,78.06007798789962,116.32447783916952,111.22115556441814,107.01389952760977,98.77086450297575,105.47268346829642,86.19042809463069,121.23010636109674
679,86.22031,102.20295939612603,73.3755602973485,111.2731422233846,122.88401478412496,106.32464816211768,94.17833981894576,117.30436158212336,106.10262149587292,121.09993867675824
680,143.45,103.21783100938684,74.90653836524406,114.66843991392642,129.8596609293583,110.4791431755178,92.07980473590868,124.36289450587498,116.29653370695796,121.58180928809196
681,143.45,108.44721088028577,79.78699259700147,121.959304507648,145.82062253735586,116.06125349545968,93.25023425222408,137.71637744728713,133.7666571538663,122.6344758427612
682,171.32,110.35545334756723,82.13388273730385,126.45829490208524,133.6034151728894,116.65547396315904,94.5386203212961,126.9786975902095,117.09664576642768,123.73648579315814
683,113.25,106.54835013604894,78.32381609263335,123.37849115507346,115.1722533330479,109.38398337210585,94.61772462734876,110.57885748902092,94.25654318175368,124.49398547089407
684,82.56,98.88678834907267,72.20074519780032,116.17548714224618,100.3761517740345,100.59563941840764,93.19016888730252,96.90148917402212,77.32022488446194,124.60352825615828
685,71.16,93.79584101376592,69.4649305166137,112.44025090757468,108.4917293898762,97.29351861848544,92.37481525079124,101.5257032336696,86.85534654670222,124.19613810166231
686,111.29,96.0189445305625,74.44351310393097,117.32716065828424,134.06215164652497,103.1717935541606,93.53129876134264,121.027878108801,115.63293316359984,123.3127222982057
687,163.59,101.70264550861644,82.2582948090126,126.54046688265726,145.90657699039352,110.58814241651034,95.54766186380772,129.82280416025435,125.7830788921004,122.1143784329265
688,153.69,107.32632579662044,87.90942035982818,133.18041859656682,150.82376141245192,114.48184786670508,97.98768421985808,133.0817020218637,127.95330969830968,120.88149344605672
689,147.01,112.66932131191484,92.43908749945902,137.18735250893613,158.307174702947,117.852231870495,100.43906888492916,139.161907377357,134.37700525022814,119.57391951961483
690,159.3,117.67453012273025,97.1597173779201,140.7401067845773,165.16993489335502,121.86569575993586,103.0575971364338,144.88739425201933,140.2563523828227,118.47153727862089
691,165.31,121.21918335498049,100.7535278605995,143.01697650939406,165.45111853546464,124.48012136906144,104.96194544407057,145.769186868473,139.64697224201308,117.50970962962204
692,157.1,122.74034039692692,101.92511147776564,142.94138662657718,161.8769203214357,124.93700383552388,106.0245596034919,143.72965984506197,135.721063655177,116.84756101959226
693,148.96,121.13493399287717,99.9842191251264,140.12188101918275,150.65754110669894,122.53599008822822,105.77305496777592,135.42416934987358,124.06829351064914,116.48491274904497
694,127.130005,117.32227620565146,95.54731191064651,135.10556305695255,140.83258376887454,118.35588892756574,104.5128959717692,127.92982560745028,114.6282399752613,116.4037533988968
695,119.57,112.72895481974388,90.31388896386407,129.5655066828489,134.00541455954067,114.4836497531946,102.7081353988326,122.31289122506408,108.35526254863628,116.53815030441736
696,116.44,108.3432077791051,85.52551708837109,124.43899814971572,128.7998687326623,111.26723024870408,100.2446885184184,118.10877732089448,104.12930263223411,116.60878872229402
697,114.22,104.60952027331714,81.73988015267638,119.99903070652844,124.34770504951696,108.6087775535761,97.30454586596888,114.90463596029336,101.1779316953788,116.5600112082738
698,112.44,101.35564088895548,78.45983618515687,116.05483520556724,119.1034410005496,106.1067092466281,94.13530302593144,111.43092642420932,97.64551937795824,116.4250335294219
699,107.94,98.425207575276,75.88204397077705,113.45856248595184,114.32654312125644,103.60441011950994,91.31459119700268,108.17449312635216,94.3276209025348,116.3641863542466
700,104.58,95.55296328190914,74.62057451186885,113.12455825393847,108.47334568019586,101.03022912392112,88.47087925499068,104.49786287746194,90.34203413299802,116.1982192060996
701,99.51,93.02330079591076,72.57749583616236,113.01252112167434,108.4144493077489,98.76347081171916,88.19294198688699,102.2926963216293,88.42295800934356,116.7365960842475
702,99.74,90.4750610091216,68.82663084222837,111.16414298239204,108.61124956314023,96.5189456939706,88.41645036970783,98.84543430955684,84.58788832817788,116.85438138332948
703,93.4,87.63917461545871,63.62728737669619,106.89389537656962,103.7810620077911,93.77680207263482,85.79459384026593,94.71104298839523,79.85474948565727,115.3636330373468
704,87.24,83.84059685861195,58.30561294389255,101.13947407670769,95.34790562107612,90.0175382028323,82.68550571489335,87.84228891937535,71.55302657131064,113.5731758691473
705,73.95,79.388634212389,54.860912291127526,96.7324766887916,84.01611698347821,85.67151456889447,77.40862156381596,81.7046540163873,64.94413133900363,110.91140978770594
706,68.04,74.78967634684267,53.73922305977265,95.25889093933104,77.0768957502563,81.6226160604302,74.64294917674916,76.3924618250895,59.85424503189832,109.37694707982236
707,63.360004,70.95351957713372,54.25222833373432,95.92435293567424,76.49627878097166,78.57500055843589,73.88312640568786,73.94736887110787,58.35404422765756,108.20738127769202
708,65.99,67.6644885146024,53.97932443450222,95.8209901743204,77.85295783715917,76.05777257837764,74.5194454940971,70.67042980716744,55.52338479397671,106.86654690931329
709,60.68,65.90009913400553,53.5142217916578,94.78350563019724,83.45812783667984,74.81828315631691,74.25464263825593,72.14225089919813,58.381318236794506,104.29724292054529
710,71.52,67.19050301811333,55.80209642652217,96.31271159485104,93.0530393687999,76.97263949146966,72.61571518885138,80.48513426195018,69.57505407520921,100.46183817784228
711,94.72,69.78749798148692,59.07929981678649,99.6610783327338,97.49784658974832,79.93837339955762,72.05108437780235,84.1834169319625,73.81312832763807,96.97769705923004
712,90.44,74.03341267388879,62.31860402427521,102.72528310373086,108.0206998807274,83.47293011081695,72.76884575721348,92.60502486435824,84.5211887448176,93.83755989806684
713,109.4,79.0129259876986,65.89626454085634,105.65017673332684,115.10620898113837,87.90835560872073,73.43895394020734,99.17855993576126,92.01505595527674,90.70862868387364
714,113.68,85.20468449767993,70.14071240830599,109.03426103108671,125.2699656538656,93.22802339520648,74.38798223848099,109.3932906370311,104.49271782141128,87.87783522557785
715,132.66,90.936924723772,74.58361350139772,112.5238524840392,128.5047912054723,98.16749313240187,75.62592293165815,114.05455505689298,108.5282734348787,85.75441623903663
716,127.579994,97.3481559865026,79.79805707354461,116.5522154431724,137.92761513203052,103.46207597846112,77.50730835527133,124.26212288707634,120.4795908549607,84.4053989233356
717,149.94,103.54106859733469,85.52352161077111,121.2088709054433,143.8031649005356,109.12276195180792,80.42319255241968,130.5948752919573,126.5784107403045,84.12742442617221
718,150.06,108.66302029356044,90.01389720079354,124.80698506742416,146.66345866573843,113.15390964460674,83.41019169940886,134.17908067723383,129.1392488408965,84.55756153614546
719,148.91,112.78149991460585,93.40818226091147,126.9910725296541,149.3801673934865,116.3145600176652,86.18089000953529,137.5682951394205,131.9008260313962,85.56789120412274
720,152.33,117.45116321033628,97.22278340505356,129.61825281463325,157.81933999624917,120.68465596160569,89.11507601243264,145.7010427975963,141.32256286941117,87.12802707157613
721,170.74,121.87119076914772,100.94119210474024,132.758821832889,161.20109375487178,125.08667210133378,91.8255377039629,149.75147514332025,144.84889940428852,89.20226647025235
722,167.81,125.5194748119816,103.210467101378,134.9044665680717,162.7926360570889,128.03731334861897,94.28290135602197,152.25017049745935,146.55397544696976,91.79804032046776
723,167.66,128.656104995721,104.39691255917676,136.122720534479,165.17422368103257,130.6351124596821,96.49527545781272,155.37809652704064,149.4440673515573,94.83792706966814
724,172.38,129.96394697139272,103.69502565082212,135.88516935033894,160.48014556795025,131.495833428345,98.03785410071112,152.4697028167041,144.4305490146166,98.24350742649936
725,157.47,129.36653969618294,100.87304803386355,133.5269466842636,154.08155729389412,130.23433418618905,98.52457193561791,148.3519603310408,138.61143850061825,101.78178704372878
726,150.11,127.77596534951805,97.39029928208411,130.54954518886535,149.48549584919252,128.67681924453862,98.49885410117648,145.53378007817173,135.15970900138166,105.48532645697088
727,149.12,124.54355224097998,93.17547085453256,127.31855423040786,139.32424096927718,125.80866270192692,97.66824399599972,138.01873697855467,125.60308383425809,109.22266985642148
728,131.38,118.59187649119836,86.9374738524026,122.17688602416445,123.4033378295179,119.8154169840832,96.10217381643002,124.93707829364328,109.00635412793488,112.9502741338543
