,Actual,Gru_predicted,cNN_1Fea_predicted,gRU_biLSTM_1fea_predicted,biLSTM_predicted,cNN_LSTM_1fea_predicted,vANILLA_LSTM_predicted,sEQ2SEQ_predicted,sTACKED_LSTM_predicted,cNN_biLSTM_1fea-Copy1_predicted
673,205.73,108.40521304263434,174.25988989071914,70.65447187745535,170.6869404657568,139.61599017865476,171.6078078623049,178.1932353630026,89.35196541519647,75.03901563082883
674,214.53,116.14553881539364,180.224292744224,70.65372362159948,174.9938873155585,149.52561360200755,181.22907564934903,183.08790947441088,92.6504642918384,75.0329533727373
675,211.79,121.01771675306108,178.53162714552516,70.65239338896681,173.56410894088887,155.90917830069927,185.23712199791024,181.4247584122492,96.73576805751829,75.02896960313427
676,202.16,122.66824446180247,171.33143817628007,70.65062667375157,166.41033954788762,158.46242127318894,183.7617277292124,174.0991673041961,101.25560755490513,75.02696039759536
677,186.7,121.5859339360553,162.5619903981951,70.64892231319098,157.678512411445,157.8475489519222,179.13014869068215,164.85851232917153,106.23759203942156,75.02737609529306
678,173.27,118.67099239679168,155.9686092148813,70.64746044295404,149.12064090490244,155.2310090766618,172.99490794001005,155.72445610042865,111.41345793014808,75.02978714193976
679,162.3,114.49441527328553,151.29102629780496,70.64626877622062,139.8227166437239,151.03262860891095,165.00711039951148,145.55385766245607,116.61502086688776,75.03261388628417
680,148.72,108.85226820333725,143.59686375437593,70.64515332073178,127.03765681897946,144.51692746870847,153.14423434735787,131.14196489773946,121.684565143131,75.03414503947072
681,126.23,104.06940984431688,138.94692473419704,70.64527803004108,126.68775021023043,138.99468839966346,148.68734533799363,129.28520956116614,126.37405087095163,75.03687478768565
682,138.59,102.22687829730006,143.71392422604993,70.64660133437879,135.54152919459003,138.05196916080595,152.09781238951263,137.96666799323668,130.17645156845774,75.04298554384192
683,161.42,101.84908530132996,148.29970723488285,70.64728030728504,135.35360612204713,138.4355195698893,151.94547303989333,138.9415345207168,133.0350660696822,75.04325574734544
684,153.57,96.92496593633416,129.18014889636592,70.64550666377482,105.71871817314502,130.53354974737704,129.97853789457994,107.34591831275016,135.80739558545284,75.03790710363495
