,Actual,Gru_predicted,gRU_biLSTM_1fea_predicted,cNN_1Fea_predicted,cNN_biLSTM_1fea-Copy1_predicted,vANILLA_LSTM_predicted,biLSTM_predicted,sEQ2SEQ_predicted,cNN_LSTM_1fea_predicted,sTACKED_LSTM_predicted
941,20.25,34.42625963421019,39.87419723037456,33.36724931559754,36.620299456032775,32.348030088251626,27.61532121219905,34.93192279651305,45.64045988726194,27.81163652742552
942,21.75,34.24722540938585,39.84341087333584,32.63296351023181,34.65979928781322,33.441870454660645,26.703971655635883,35.63541490601836,46.17108238217235,27.320814297308967
943,25.0,34.32771393639948,39.67431708250648,32.402891449882844,33.984003891410204,34.1500263853574,24.391404359214224,36.025664088829096,46.86662287836385,26.98085439020928
944,25.25,33.68592663976224,39.58047923881741,29.53933826303392,33.40128310123927,31.78636070813208,20.046511846578262,34.247218070564145,46.33846255813436,26.89154459951018
945,17.5,32.629532611086255,39.50654061017257,28.9213892939893,32.655427643460776,30.41160492462457,18.16909264413848,33.52605407840109,45.30920749211134,26.93362540314785
946,17.25,30.96384942297368,39.21921473231762,27.490963043757954,31.88623106325996,27.86287984995779,15.45161136444061,32.31446965660965,43.92361960777209,27.012477372922
947,12.25,29.39171236038752,38.77874232319116,27.69269624410572,31.219451409317507,26.4541086278628,14.21879206205524,31.876496116272623,42.56877404754135,27.088769928627663
948,12.25,28.635054157064086,38.304441615430605,28.19224066381477,30.749256772299063,26.2740965050467,14.228365554965135,31.93804681388496,41.847122023735125,27.145097219893803
949,14.0,30.47704152832797,38.33238050964906,33.269558590515075,31.22691315628273,30.68446598490542,19.86694739188597,34.54769878631943,43.245846398920456,27.20449580804211
950,27.5,34.9152820183044,38.85270296830111,38.30987234348988,33.23440930397468,36.676324020903714,26.147644937715192,39.462562721125,46.711740715759866,27.24377501649515
951,38.0,42.767931321471806,40.54830836719702,48.85429870334488,37.852043621038845,47.53040462364114,38.70830798190889,53.86244640080103,53.20757398506963,27.36265108512506
952,61.749996,51.63433976863906,43.135793428681446,53.63952235278954,44.017927136050055,57.27262438328097,47.76020514758714,65.98319662102301,60.98493798580993,27.6039331956234
953,70.5,54.40699064047961,45.25364894241846,42.65590787760589,46.20585004998426,53.70364897681919,39.860106692707255,56.31204234133181,63.59627421782494,27.98646560741478
954,42.75,50.43000977209977,46.63227962378448,34.91691490613303,44.040255501077546,47.71091028221668,31.593463449113184,46.339501001405154,61.39731371605136,28.511051921475524
955,31.250002,43.04337564699167,47.18170784930555,29.693868162196217,40.61866565085143,41.48131845601282,24.78581832334069,39.21760753036495,57.75407677278985,29.11325361385368
956,23.0,37.445682055181976,47.25026345223218,30.38498885301785,37.99176010859622,39.02955022425834,23.15458723370684,37.60809017944107,54.92850198824733,29.729672438573488
957,25.67,34.680487426190375,46.82027088049578,28.903264239091477,36.015349374927325,35.23840299900949,20.07674962669478,35.13393120267463,52.3089536147481,30.30149324381194
958,19.0,34.27592020223958,46.05526476748664,29.95957387131789,34.537167577177456,33.24358283110183,18.84495959405308,34.302336290954926,49.98602573678903,30.773256553969123
959,19.33,34.89925036229699,45.2190794227925,32.33133793829106,33.91099362371063,32.703588660878324,19.033501262392,34.336861777650675,48.60028740660489,31.143463414712457
960,21.0,35.505235217262374,44.543588587490106,34.400775575850965,33.921811046898966,33.07932899318476,20.34518354278407,34.83310189288852,48.03133791535724,31.427406095762908
961,23.0,36.27718018619049,44.20435155432804,36.549986205308585,34.169283453502715,35.21323450998344,23.766949524731025,36.54755705532531,48.52600018392922,31.618685144596576
962,28.5,37.54508639513179,44.0735113716189,38.24436602098032,35.041685883294846,37.93734274567795,26.964745676574,38.90336652391894,49.92034328255863,31.68017529692987
963,33.0,38.158314667116784,43.8407459637054,36.21014738876697,35.79434442879084,37.68794756778835,25.465431741734022,38.3265681628613,50.59132074251446,31.648106480798777
964,28.0,38.9287588470069,44.03852720856679,37.90570875473268,36.37194272141397,39.69489880796896,27.73668514138584,40.19153888898954,51.43655485436682,31.684108905361995
965,34.0,36.93071326696133,43.724968712539045,30.24070945306743,35.434767851282444,33.52540092326964,20.6195215409324,34.64085778900108,49.77590426323619,31.67839196325636
966,13.67,33.90719945289084,43.084289577978765,29.071730560665337,33.69586707375722,31.116432699679592,18.13609913647296,33.48754361152131,47.3159679229277,31.60586238837824
967,16.33,32.003255914115606,42.380856179047065,29.15940379412495,32.70170258370098,31.088772680685803,18.01576814644068,33.75337041120106,46.2887273634618,31.4908942423045
968,20.0,31.289948130584243,41.75170266396935,27.843734698843424,32.406770017152205,29.972339751668034,17.026918798001915,33.25576160571584,45.493191752173495,31.390051493301147
969,17.0,31.140401291357414,41.08342589039975,28.27066147781394,32.516437699251874,28.803390214552746,15.972581474107834,32.76470269859941,44.49467167143728,31.23843694105986
970,15.500001,30.75791841661252,40.51981172252924,29.432396953196434,33.15781402187382,27.488412803216605,15.4378235531685,32.269592761903624,43.42861975340183,31.07339417980985
971,13.67,29.885339855099552,40.045687146489534,31.089827636305422,34.25908861466668,26.327000235988987,15.639120093625015,31.893155241535528,42.37937373706332,30.856827386097475
972,12.5,28.944176335373143,39.75720540421656,32.80094546957336,35.56548327402266,25.83959239266916,17.34077451630858,31.808553304958085,41.608929557173205,30.576291753022048
973,13.0,29.12851285887698,39.63139598378395,34.74038321950897,36.09193364879564,27.61914290360022,21.263097675359425,32.698301039842235,41.87518934733336,30.14432870765873
974,19.0,31.130009519827777,39.86050665849,35.90197925727914,35.31963274701499,31.1045217920577,26.80267146870233,34.83170017794349,43.52563897629859,29.63711338456596
975,26.5,35.0529803298938,40.15554563795345,38.75108964301907,35.34375545394855,36.43683625231144,31.788841229867263,39.10826275642015,46.61587001845943,29.00936525384411
976,36.5,38.9816644126546,40.39565353697952,39.0227948388819,36.51121521025839,39.80406745019291,31.61223982443704,41.80072966234769,49.71832753757534,28.43666562470688
977,37.0,41.48211471816746,41.20742262187203,38.50977450782307,37.736985574399256,41.84087668646696,31.50042920640046,43.09633258439129,51.96624898833196,28.227045025735183
978,37.0,43.249835048515344,42.414489998906056,40.584290610000565,39.07796076161375,45.27729095653056,33.99788527265901,46.703033203810776,54.425018455989886,28.21639272603513
979,43.5,44.20260124535218,43.764759803805774,39.52057977608796,40.29192663104739,46.52175696895655,34.471165884203025,47.35530767665977,56.42070093544749,28.370841898158712
980,41.33,41.89010183303126,44.33183422610864,31.37024034411735,39.32202061612619,39.95314827424168,25.900212894630805,38.88192615631736,54.854563359602494,28.58358883517534
981,21.0,36.5328096931157,44.153878808074445,26.83325417343883,36.81057675570416,32.17287443069664,18.203005339222127,33.36812997420175,50.51765365027258,28.862214539902894
982,9.25,30.805174924255333,43.37099532539992,25.94008654764168,34.53482282364376,27.11758581203948,14.301691391997888,31.51087968850372,46.29392691863747,29.10154819323943
983,7.0,27.98428964678022,42.46783222444502,28.42494736115465,33.1969666356525,26.79077707342927,15.27365594640642,31.75325161402476,44.08362426792387,29.26377651636684
984,14.0,27.71113870304215,41.49912610687205,28.67985949825852,32.3447533043618,25.74541696318182,15.181828939863632,31.569201304567294,42.81373290771225,29.331218453100227
985,11.75,28.41622333685673,40.44428056957513,28.97095753046815,31.61835489762,24.856832431537395,14.751434567639054,31.39654084639089,41.64196159365265,29.280072369955505
986,11.0,29.17063035662316,39.42413298128394,29.37383682542755,30.762114387920484,25.385238602293885,15.124839319938914,31.713526572153345,41.1254479834638,29.12659008759113
987,14.0,29.085843114797747,38.5608416986345,28.892309212996228,30.229475551747523,25.02444378038301,14.599917254785312,31.624224120275947,40.76212493747668,28.95224720453961
988,12.25,28.888476513362505,37.70179959375035,29.944742112658712,30.26455695418717,26.10853085275044,14.477588270544745,32.116442561221255,40.84138421185527,28.70172001340252
989,16.0,29.429252268097247,37.50661262236052,30.90796613042049,30.59104645405336,28.040134410519467,16.909897616557117,33.058560127768885,41.700158449747306,28.5610329666751
990,20.0,31.912533400238924,37.79842985909691,34.58896131133736,31.727446482216084,32.621379180175644,22.204015344558822,36.09872572828058,43.999213140710665,28.39587645368871
991,30.5,35.5488498346357,38.44804033966819,36.30482552754088,33.61827371190492,36.61802442130524,25.7550253154948,39.11148082973636,46.991606681355016,28.232237242089152
992,34.33,38.173608771543165,39.270854351221786,34.87457357432495,35.038438454691835,37.82504776540906,25.829424455201423,39.369583519575045,48.970061276867824,28.13283473684476
993,30.75,37.550939105438914,39.79013469719219,30.12670085793119,34.94026336737706,34.46735703573983,21.220582046535927,35.85701062730184,48.50325350606473,28.08445355477616
994,19.33,34.628506552077084,40.0110185527706,28.27309062779721,34.203966724865055,31.575637451199704,18.207823275669305,33.93129647394844,46.834530211062216,28.07640286736937
995,16.33,30.149106280586548,39.737427279730426,25.55369024622435,33.47642896605405,26.14830359696292,13.690525328911082,31.509892616984832,44.044244150672434,28.07901915730604
996,5.5,27.81543803706701,39.50773683810995,28.840223760673684,33.21886567961044,26.752306970068844,15.907278803900493,31.98958735869615,42.56053255077031,28.066055128769943
997,15.670001,29.396532131540123,39.60018397508654,33.91196601758611,33.93390542506341,30.539454537490258,21.587908419761337,34.22796834124053,43.689580914293344,28.008610501899724
998,26.0,30.86579359151155,39.44307448009609,30.94895711903546,34.21529786557251,27.69278981408242,18.86864747580081,32.452006514121614,43.442277300588735,27.893822156957672
999,11.67,32.13065785885749,39.26827108598278,33.81710807768051,34.044776673922165,29.413715982554702,20.904102699470894,33.451154064113325,43.31599819556721,27.72532097598073
1000,21.0,32.46351745596076,39.15331945225787,32.656532136126884,33.63936181606482,29.842969168004664,21.131666717503297,33.638415108065296,43.76525150485979,27.578162923217807
1001,19.5,31.661890622660035,38.963533853640506,29.794189854858747,32.37657443526047,28.838359699961448,19.742152563553624,33.01326125081501,43.5084404476406,27.450194054499462
1002,16.0,30.58735502673739,38.51108815690768,28.561220106628493,31.17980342507396,28.40171448635243,18.02932661953461,32.81718628199927,43.082645681917576,27.30352953749599
1003,16.33,29.91455203488325,37.91486026539473,28.01354219008328,30.68327709578974,28.155614439406904,15.765934932630763,32.732672411282245,42.81314947138696,27.193496749016656
1004,16.33,29.81293870960122,37.59350060189805,28.41261997540119,30.63713792375102,28.014210022858137,14.828224328515017,32.69555632052579,42.62887899727844,27.18967138820464
1005,16.33,30.269861087572096,37.529535431945845,29.19523192167276,30.735566200414507,28.5198952016261,15.532002652066693,32.983869269899614,42.71734115407099,27.231517349547847
1006,18.0,30.37598778820069,37.49862064552735,28.054933144480987,30.729141062014648,27.646226825090423,15.014523986824065,32.5295338265786,42.48736449840415,27.26833805273081
1007,14.75,29.10444335840076,37.10118308685977,25.96794288011599,30.419963842542828,24.76894086813215,12.032443325376065,31.38796543323243,41.196062125877766,27.250757905344337
1008,8.0,27.43035171532344,36.67464710014488,25.85306279990267,30.00732391472014,23.708031629404186,11.37642972287004,31.12946828172728,39.95028246436716,27.22293826697853
1009,9.5,26.40198831613717,36.33101411278347,26.473387712473222,29.930468104448863,23.627902704653938,11.922491263935449,31.202836316984808,39.38962584164245,27.173025105879702
1010,11.0,29.561811569790017,36.69844322951271,36.26820480724929,31.640637395011847,31.178001744346183,21.739776161351333,35.8193551331503,42.21157891767516,27.102801755721355
1011,35.0,35.75290577205207,37.89812408250395,41.7732494444856,35.31301679925089,38.20391810517128,29.70618453971713,42.02804966455852,47.1618710142458,27.07032746969124
1012,42.33,40.3150219029427,39.2257132589345,38.797349905615874,37.80251391337392,39.50421053428227,29.783932016825165,41.53403688170714,50.077794032758206,27.06566915261607
1013,33.0,41.62693168680753,40.50593401069128,36.93576237629212,38.104322955857214,39.93233904530644,29.764663940447296,40.91309183870279,51.18415075957952,27.098413140343727
1014,32.0,39.88293409761046,41.324997884355305,33.1798891975526,37.04511081964777,38.30642309729007,27.057332251162915,38.66827104011514,51.13644474910748,27.131810283202835
1015,26.67,38.41714023089309,41.99321961676215,34.94445383456874,36.48716589154185,40.050805974626485,28.03858041502413,40.35939241895132,51.666182916002825,27.221664981413287
1016,34.0,37.45194207009354,42.36354389865271,32.2289797226063,36.11237960605664,38.40599989954988,24.769722452643386,38.45560299543181,51.68063672534437,27.40423284888701
1017,26.67,38.52001583350782,42.962487154195294,36.2505586104675,36.44935628213458,40.84262080331201,27.22924048011489,41.04648960077498,52.35358832833796,27.70258897575964
1018,36.0,37.22340749289109,42.87727242600576,29.519916071400317,35.86308350226001,33.57968251798642,18.661738571447906,34.46404722715236,50.36579508220971,28.02868951807564
1019,12.0,33.799645351441264,42.525761213547554,27.145308211017728,33.80457337021397,28.900713998550124,15.229426702715571,32.24801295668971,46.78770118978353,28.37460304428085
1020,10.0,41.08824382684692,44.16187445431847,58.96806465868861,38.77456286423203,50.88343887094063,45.49769044987665,61.38255901502004,54.56751635697221,28.68883671190515
1021,89.28705,54.66610241830229,46.96295225202064,63.50671857659884,49.2679440497407,65.30092838387908,58.40137185511423,79.56332657779507,66.62579118804744,29.07024811868159
1022,89.28705,67.24457127864979,50.77522427553789,64.19441754180204,57.19838119353551,74.63351713259394,64.93277639321224,87.697874700169,75.55122210875079,29.74729478418475
1023,89.28705,74.12765949151598,54.629870655560886,63.26787662431632,61.96072239691421,80.17167086393756,67.11154779648439,91.28439355990876,81.8191702865787,30.64440702664657
1024,89.28705,75.42171392218052,58.3935927041104,62.07822794059132,64.85966705141968,83.3612255190095,67.78258763642468,92.83369954818086,86.22180281365837,31.87385414046
1025,89.28705,74.20867274428129,61.92312928274714,61.87907800548256,66.60648274815021,85.22273232129453,68.12061376400597,93.48438149672056,89.3149693844999,33.439734857545446
1026,89.28705,73.46079544112396,65.06117641770555,60.63939690480608,67.64211525023204,86.33772684125876,68.1948826396274,93.7462012997512,91.51387117569988,35.2849311285984
1027,89.28705,74.27489827131761,67.7852149345939,60.25642783312345,68.20682290253609,87.02395804212162,68.1804178220533,93.84443876705043,93.09133622284148,37.37297267917217
1028,89.28705,76.03987021293821,70.10212497875754,61.07782545208862,68.50505060002894,87.45721272010445,68.12687377891754,93.8766855496078,94.23080571318096,39.65713323149189
1029,89.28705,77.61522901825143,71.98762972800722,62.68593741865661,68.87420067044722,87.73635214235112,67.79060162972296,93.88406106541802,95.0584780247011,42.07116891146698
1030,89.28705,78.33851392988628,73.58912941622197,64.71578211313573,69.52659256444346,87.92080608700219,67.63865132638882,93.88320242327892,95.66134754985411,44.5989820136947
1031,89.28705,78.28687064157126,75.09230357127704,66.50817923145566,70.60996410169497,88.04518443720296,68.34068301037549,93.88039899338888,96.10103103564764,47.2149490422035
