,Actual,Gru_predicted,cNN_1Fea_predicted,cNN_LSTM_1fea_predicted,biLSTM_predicted,gRU_biLSTM_1fea_predicted,sEQ2SEQ_predicted,cNN_biLSTM_1fea-Copy1_predicted,vANILLA_LSTM_predicted,sTACKED_LSTM_predicted
543,77.05,65.39805441139738,69.87935459325324,52.83167268965398,69.87039781290714,40.7540622194486,65.87961677748805,31.51742972793268,67.24096550673107,37.56007245841221
544,88.6,74.2615696051903,77.58581375382671,60.19880718721392,76.82023578816774,43.96022425757278,75.16953644321497,36.20150146484615,77.10429547877852,37.27726621315224
545,95.07,82.00583368533995,81.05247826843059,66.24130189776507,76.93572912461369,46.941389705863536,78.23842416990247,39.29662966053637,81.48950238288464,37.5595307684616
546,89.48,87.0851091829044,79.49508816683027,69.67069058530268,72.02289731245412,49.15289561770468,76.27105036033602,39.81588986795717,80.9469054165452,38.4132215331794
547,80.0,89.30429953357975,75.36505502178275,70.54754804348951,67.25147177228473,51.137748376258784,72.4559028433211,38.399191133586605,78.24525198276828,39.84499625472183
548,73.08,89.19283107944123,70.54599855828197,69.90957585352089,62.07586364559699,51.90944239938336,68.28241482653816,36.2022384151278,74.78447047297682,41.52657822557961
549,67.88,87.50100738928474,65.85852866173647,68.5054399169002,58.33427888361874,52.23181090719879,64.3654736898514,33.73784203035708,71.23116705987741,43.48382369281377
550,63.830006,84.88596136040155,62.28282070033109,66.72311621266999,54.59271931652192,51.6601201515354,60.79521412155388,31.460350724067432,67.77502770698825,45.49178015763335
551,60.280003,82.13659511992861,60.44770742079802,64.99739910827834,52.44945059165652,50.8242736615859,58.70267843979516,29.783014090729523,65.53011968109972,47.55151525313868
552,60.03,79.36840830303223,59.47066881535046,63.37689582871181,50.24677233639418,49.95814292416518,56.27032049611477,28.56257718392873,62.95405643249927,49.6166231571076
553,56.750004,77.26502622482062,59.74487730732461,62.14048221772826,50.691673000653296,49.35747805486461,56.14992675523192,27.94731188084317,62.4596068845604,51.60706602997758
554,59.949997,76.01741348904426,61.28456170600448,61.62483747579176,52.367567227029696,49.24741736472563,56.87186718626517,28.29799943537877,62.83202502432388,53.491665205986855
555,61.970005,76.05778828652564,63.14027809982173,62.04199542624326,55.60464023530051,49.41021094168429,59.77143271234512,29.382544599861,65.31186272204711,55.15392900151307
556,68.42,78.65630017447455,68.35854116075969,64.45011589399411,65.45003145177434,51.24818069089877,68.23538228164058,32.33553902135994,73.0373629142565,56.77496137358951
557,86.12,82.01833034652607,72.70711470727584,67.74934152537685,67.63860372279962,52.59682805054408,71.57679674196721,35.91311770271103,76.53698863248286,58.072718222119256
558,82.4,78.2517333660145,59.18752873791163,64.70275126874927,42.13370243260517,51.29913418921789,47.54392214574963,31.355876998884145,55.106102817850655,59.3808049720327
559,15.4,74.13732734617,50.53113436558206,58.74952202308206,43.56629913715405,50.28546222618036,47.379078335315135,26.101830907604267,54.176833707582304,60.56710596386464
560,50.05,69.10674725567706,48.47712165752007,54.84631209677118,38.52898886396083,48.8686910565257,41.51486890443798,24.64302837701463,48.04352404693964,61.51767734637667
561,34.55,65.67982136779862,49.76747750963163,52.618089381105456,41.87625168613791,48.03502077445916,43.3783610685346,24.712175729081803,49.12164136729866,62.16327098797594
562,48.52,63.4262966924632,53.68703891398645,51.69115079736879,43.90664104350506,48.12783241890348,43.53682112588839,26.51170123860399,48.8137914099036,62.61182805940166
563,45.95,61.58905444544983,56.91306081739281,50.72979600560743,43.45542276272898,48.023327200118416,42.026558049990975,28.68209855204229,47.05051188666949,62.599199125088056
564,41.57,61.753092019678775,62.55773464898511,50.7780442035337,51.08462496877705,49.29927158005565,47.129129364791766,31.5627836638554,51.471958478343325,62.38455763151974
565,57.33,64.89665107618558,71.14135990504285,53.62960718178127,64.6424599175025,52.38623033544426,56.79793910544786,35.775821345753094,60.2564530759112,61.93048288106225
566,74.95,72.75609985548374,84.85240177834528,60.23794113678517,83.75653781338349,55.98394917513336,74.6870418665116,42.67193753509815,76.55610524876305,60.6591113721034
567,107.57,83.9714501519271,99.13686655540896,69.65862853582112,99.01873405513388,60.62422905877238,90.69669465545704,51.08757591926379,92.37988909872594,59.28367870414458
568,122.92999,95.01600434719964,106.59407905277877,78.55907942578109,103.2228968400501,64.96402218911238,97.76661143558267,57.12554814859941,100.92260416607206,58.109320086107445
569,117.399994,104.91730300555253,110.06170097287672,85.51634989106167,106.36289082083546,69.34749064640027,103.69130747803764,60.75075775328188,108.04078174156469,57.58834662674984
570,122.26999,112.9458346340847,112.24492563031984,91.01882381189895,107.48354654911812,73.64467923225291,106.99933872047797,63.3057832758936,112.52417309857871,57.83310230233976
571,122.2,121.20076116836933,117.9805025940886,96.92903279753531,116.13171479266286,78.58107455726393,117.1671866268522,67.12972380652536,122.74505623034972,58.78036055794458
572,143.05,128.64678083966666,124.210365339067,103.22272677460047,119.67439226452184,83.48014366544584,122.28073976059352,71.54774074496541,128.6251888262866,60.37647519229304
573,141.55,133.39795599389183,125.14916441323383,107.19951205338874,115.99204696749092,87.38143248204815,119.87396092027848,72.93994060651166,127.7010405756676,62.553829442364446
574,128.43,134.1644598714431,120.82616367136268,107.35545577196034,107.00478081486546,89.6140391070816,111.3535811153144,70.65502940764274,120.9208208408713,65.20809760290386
575,110.62,131.74124137099915,113.93493528901384,104.7801609672433,99.0381719061522,90.1882682470484,103.13792710244888,66.62421370564151,113.7850257445432,68.151980925408
576,102.1,127.66803528100264,108.50909160002654,101.46702146259436,94.4807768836766,89.89976165986634,97.36627736720182,62.98585867157626,108.30938437242207,71.3319402868516
577,99.07,124.3611818992689,107.41056957507456,99.41530148874192,96.41197084351872,89.3682378439126,97.93508960766256,61.41001961805347,108.28201013375528,74.48383255038927
578,108.65,122.16307966434512,105.72102602168688,98.8846846885194,98.26272384569552,88.83655026122959,98.64502467769744,60.080460530446736,108.53127569312004,77.55304781053528
579,109.579994,121.37944326742576,102.73853154340104,99.22620130621682,101.02163264750766,88.18823557243657,100.97123028721968,57.56529960896757,110.3661055302371,80.3803040269294
580,114.42,121.96623205578226,104.45241335224392,100.34947100344718,101.27752446068683,86.48169807152867,104.22021102632334,58.36730937316513,113.18732757253024,82.79197697296097
581,119.24999,122.81902840220953,105.84764289828138,101.45065738710971,96.34425330097234,84.6114694260114,104.61529826064772,60.35202985859176,113.64845688978636,85.45495626375262
582,115.65,122.7620879701921,104.36147242774533,101.3388865943941,96.2702874278329,87.06644607448985,101.58725773546831,60.5521968927822,111.07645001709513,89.39345162149729
583,107.53001,121.77457459279265,102.2084060433663,100.10131401886508,92.59596040181503,87.1652100096705,98.61059587223204,60.169499241397865,108.35658698276926,92.39779006197745
584,104.28,119.11898370097848,98.63057541320096,97.6904221141576,87.82050368061788,87.9306431047613,92.20052043915072,58.84528146865294,102.40552449690448,95.500268864323
585,92.22,114.77395003530236,94.82160694085522,93.86693509139148,80.96026500242009,87.34718004075272,84.80618806709397,57.48288715183085,95.162953493103,98.00568566541158
586,82.15,109.34585140442763,92.26156133811983,89.26762838366766,76.01265795517556,86.81618531730886,78.18101763257872,56.88067909604308,88.35116457188286,100.22634991665022
587,75.62,104.4477460004602,93.1887707668318,85.36691275061771,78.08014362607882,87.41955233764212,75.988880285832,57.81140321071365,85.52067081322582,102.15196950897734
588,79.67,100.65240166024428,95.6777857001136,82.834487036643,81.68655784921927,88.12447992499405,75.2510607807815,59.21341017985405,84.12400515894723,103.22988841964516
589,80.88,98.52182170753584,98.5759718064356,81.62664442119386,87.88298698654849,89.04958558110715,77.01351832100916,60.022814641749456,85.17048715631869,103.40234738298994
590,86.45,100.57026004808286,108.23526103127374,83.62855411447177,101.95515339401624,90.11413230845936,88.98031855335321,64.13904099177682,95.8677299111664,102.3423924227772
