,Gru_actual,Gru_predicted
671,53.25,120.00037669227862
672,66.07,119.8133801952267
673,74.64,119.75305465888543
674,74.87,120.04224769564257
675,67.32,121.04663770178097
676,80.82,122.2615747817744
677,93.37,123.39695695537633
678,83.75,124.3325131180842
679,75.27,123.9282716767103
680,69.24,123.06626543307874
681,66.04,122.23099106846318
682,108.033745,121.6176777238154
683,65.46,121.22829974360006
684,40.77,121.0053031240829
685,46.44,122.06005008960508
686,70.3,124.73527938887695
687,77.82,127.14720564012647
688,76.16,128.43999149487968
689,74.88,128.56290747592925
690,71.41,127.8658372238406
691,62.34,126.68556665250419
692,56.46,125.35315980204112
693,57.89,124.20344314259005
694,59.15,123.22523368908882
695,60.57,122.21142643237178
696,63.390003,121.48404067980486
697,77.93,121.25228989143491
698,108.033745,121.45766641789946
699,108.033745,122.00452258283079
700,108.033745,122.66433360221069
701,108.033745,123.23654333021098
702,50.45,123.60351808851966
703,57.92,123.91100920076825
704,62.91,124.13356624925366
705,66.77,124.2730518230935
706,68.29,124.2628150333031
707,68.86,124.09942871590603
708,129.34,123.86014561714445
709,187.69,123.67887844421831
710,153.02,123.75090849057466
711,121.43,124.26582497731715
712,98.66,125.00995168087317
713,85.26,125.65713434603565
714,74.23,126.07778147235749
715,68.89,126.0893295248867
716,72.01,125.44864357056646
717,67.97,124.30479034165764
718,55.41,123.05733245567068
719,64.6,122.11784995510287
720,77.98,121.47156878307332
721,86.79,121.0024272864853
722,95.54,120.70321352027538
723,97.26,120.55060786869107
724,95.07,120.34018000053958
725,90.93,119.9611729165311
726,95.48,119.482465162235
727,94.33,118.90545740466774
728,93.52,118.40860058200963
729,88.68,118.11245636266554
730,84.36,118.01038647902033
731,82.97,118.2252845610541
732,85.97,118.47620511662252
733,96.12,118.48416209733297
734,113.0,118.12436948266179
735,117.41,117.80352733161816
736,112.4,117.90637205233631
737,108.11,118.29585433754224
738,95.61,118.88461130726341
739,72.14,119.76672606300872
740,57.78,120.42887649432032
741,56.34,120.9347482483077
742,65.36,121.4662045264146
743,65.9,122.07119582288489
744,63.64,122.69374760955604
745,65.32,123.00296720450577
746,66.97,122.85002628688028
