,Actual,Gru_predicted,cNN_1Fea_predicted,cNN_LSTM_1fea_predicted,cNN_biLSTM_1fea-Copy1_predicted,biLSTM_predicted,vANILLA_LSTM_predicted,sEQ2SEQ_predicted,gRU_biLSTM_1fea_predicted,sTACKED_LSTM_predicted
530,48.61,53.32685555502906,59.71127391461808,65.35545323136424,67.17920201021192,57.71425878560357,54.72189772980207,54.331338686520105,52.2845833250719,94.65771236176376
531,51.0,54.50785987461212,59.60681799265802,65.35581886293734,72.25293513433768,65.43950547769641,61.04534523226622,61.62781783594277,52.43720224522878,91.7614801480763
532,65.04,56.46337223545732,59.99830545336579,65.35609129430553,80.71461041474203,70.45926134468853,64.12402760092702,65.19954362704952,54.05775306964173,89.07656864514347
533,62.529995,57.59901673223727,59.297300112165104,65.35525249246137,89.22563878826739,71.55488710733113,61.46949936479356,62.186223279013966,56.56349076326599,86.577211580932
534,49.47,57.06771104105413,55.63857551440184,65.35437067513803,89.83721853286075,74.03582637720386,55.75935222609026,55.7142576654088,59.668068450397605,84.12121411974142
535,37.87,54.9325086851501,49.04603034338786,65.35394768959269,78.0267165052522,73.9499388037597,49.46976507499312,48.81328792399792,60.04850451757748,79.8408513245015
536,30.08,51.6974865573827,43.26926656591635,65.35380430466206,63.740501588492194,60.784320135310566,43.53037052458385,43.14102666858892,53.34905154228976,71.47048356791892
537,24.43,48.306458040472414,40.54119261424222,65.35391184336002,57.01950144275485,40.36179297366792,40.09960287415093,40.19112905999192,42.62964431351608,61.947458692537786
538,25.31,45.13600573158856,39.091015349020765,65.35410541301637,54.17432143361631,38.61834334059331,36.761676966297486,37.48332256826159,40.80319272872613,60.568006044346944
539,22.12,42.2939443446911,37.57005969741971,65.35406956678372,51.03149223161729,36.52141042267301,34.03420523133198,35.339603147478456,38.45946925283793,58.74313886304039
540,20.47,39.89414660705887,36.20931878267538,65.35414842849556,48.07960157248461,34.38244421234009,32.12667663752032,33.91500575388044,35.87365107545979,56.6569849072798
541,20.05,37.82804861846939,35.144176656283584,65.35419144397474,45.89592077153639,31.55329105382211,30.10161900069889,32.64419228300063,33.34005010519189,54.57873504581989
542,17.85,36.26267231536082,34.26547078593649,65.354248797947,44.60688307597419,30.851432572284207,29.549669464129067,32.381521843966055,31.43847915524768,52.80435011396302
543,20.01,35.34806285838531,33.43975640132501,65.35446387534293,44.072695347685496,31.900863294902813,30.186502879628687,32.863481611274715,30.198730029587704,51.23312370568495
544,22.93,34.83239687851006,32.58302785621942,65.35449255232906,43.72008312629333,32.27981174342745,30.15787966285274,32.905249641565675,29.335384269933783,49.69323765861818
545,21.81,34.433532263121656,31.659976611453388,65.35434199815191,42.97520916556804,31.597683028343504,29.586035467158744,32.5806942664735,28.5086482676916,47.99184999494232
546,20.27,34.18367326763839,30.7639749338497,65.35432765965884,41.99462830201213,31.359065411421216,29.751480169360008,32.7172361512841,27.74555904384207,46.22707902268383
547,21.77,34.0806691181009,30.02442413867384,65.35441369061722,41.2162918831023,30.923297099513288,30.03186581657326,32.92396854425873,27.09198902231529,44.52739047043588
548,22.3,33.980937729604925,29.49889148325998,65.35437067513803,40.87857735600204,29.78390487910914,29.74527160186396,32.753577061950914,26.584402783280733,43.01218455455287
549,21.0,34.14710294108257,29.19921518594281,65.35441369061722,41.3800123815128,30.533390457665654,31.011794278694826,33.60632309060841,26.36679105869496,41.74322074927812
550,25.11,34.55587903980041,29.01104755686081,65.35455707554785,42.63030388419696,31.88933873110385,32.0977272200272,34.39614822708454,26.60653603963428,40.85656418452789
551,25.96,35.14282883793571,28.73154551928253,65.35449972157559,43.88372117836872,33.93959985410584,33.20179477046033,35.28150357358935,27.1541804436621,40.13474293602377
552,27.15,35.7422280326725,28.300996418849337,65.35444953684987,44.75745159162314,35.09833649396288,33.79450147356021,35.75620089416187,27.614983764457094,39.28181409157973
553,26.84,36.0393933013921,27.636039841519324,65.35429181342619,44.76310454251301,34.38519720300808,33.030392424391614,35.113951112907905,27.807745088253984,38.35800290668139
554,23.57,36.15851750175506,26.74446338133704,65.35421295171435,43.63822825402298,34.6256465624191,32.97166554143102,35.04696884256659,27.89648422950595,37.50676958904199
555,24.71,35.819727587675125,25.866347181517146,65.35418427472821,41.86545640263564,31.473622801743783,31.052709168648573,33.57955312406079,27.301743252702835,36.48036290165844
556,19.36,35.34208729140153,25.197187633408195,65.35410541301637,40.12572760851074,29.651539080402987,30.564146525284645,33.24343016969046,26.581199922392905,35.613751550209535
557,21.36,35.15941847440898,24.829206339764703,65.35440652137068,39.1961415955315,29.864243455738137,31.632952136653905,33.99210741570058,26.182973369945778,35.08567201996546
558,25.31,35.45228219520985,24.762396131340147,65.35460726027355,39.27769177482427,31.04008412550707,33.356618233925566,35.360999763750925,26.09312837241637,34.853685956084554
559,28.36,36.72369788279828,24.963197765121816,65.3549155378744,40.38235078809623,35.621799029440844,38.00625816411952,39.2142296045298,26.50129866980232,34.82316288897783
560,38.58,39.42874779923735,25.50954453552748,65.35556077006221,42.95545430675122,43.2874011750171,45.45323772134908,45.86353011570828,27.639317979495733,34.98207282296588
561,51.73,43.07127706908656,26.38034272695062,65.35588338615612,46.652279865204726,48.66504224422509,51.69619609300708,52.31598820950196,29.282290622435102,35.26599290871903
562,55.89,47.75029298694223,27.484324246425373,65.35615581752431,50.949332666369365,56.76128669043944,60.34332544268137,61.99498362779333,31.74032594195218,35.81319640408517
563,69.38,53.4294689806306,28.89977009682628,65.35681538820518,56.16833623295749,65.66846970416441,70.04430535546076,72.99119546513792,35.05707748017564,36.66917934755152
564,81.35,59.40153020285943,30.54506916026504,65.35703046560111,61.80344286821838,71.63378466540735,77.58915588171146,81.33898009514711,38.88648749935449,37.86918933968887
565,84.91,63.760460770835145,31.98286155210379,65.35624901772921,65.60693606118683,68.42743235451834,76.73986542988203,80.02725173431355,42.31422614312796,39.4466745001887
566,68.75484,65.60198211183375,32.8935709389663,65.35506609205156,66.03378583040991,61.8216957698869,71.91306266403151,74.20818940230775,44.75657335892306,41.25715300370706
567,56.29,65.03573351305738,33.381180072541575,65.35452122931518,63.97040498625577,54.54756674652536,65.63848791517078,66.79541790490197,46.01117716339576,43.18471605695025
568,46.86,63.0743495393031,33.7104635657211,65.35447104458946,61.13099622057487,50.2526933963062,61.16930150479124,61.55452662865397,46.385006769897096,45.20248257004942
569,45.2,60.48665301933378,34.025541196898985,65.35460726027355,58.50677955877544,47.006480074703546,57.24367661253998,57.0510748044784,46.08018116125887,47.21612676639312
570,42.08,58.21259669661284,34.41713261168146,65.35478649143684,56.649105905341976,47.00347974503023,56.20227903065962,55.87529328099336,45.464923593195,49.0876442348784
571,46.16,56.786124545046896,34.99074761126867,65.35516646150299,55.95679327556041,48.70708987513077,56.96699746578337,56.77459998124794,44.86798345001842,50.7976815944942
572,50.33,55.86924960616752,35.677597275193435,65.35518079999606,55.83714930482393,48.698364902102256,56.360801825334974,56.16789890891909,44.29190581424773,52.367757338704
573,47.43,55.07875414514072,36.28461737899292,65.35490836862787,55.40392607543459,47.57049186856217,55.04207269526367,54.75822430197584,43.59696924023574,53.67405141066688
574,44.83,54.20830007755109,36.72145032401074,65.35476498369725,54.5396698214712,46.131892936488654,53.45742187285588,53.06108441686973,42.82050757929383,54.78252087847018
575,42.71,53.25988045393429,37.04109118060576,65.354707629725,53.59623640881687,44.87273307584536,52.10235541674102,51.61883992293508,41.98386367834548,55.68412173761476
576,41.71,52.21043897744589,37.316655509526754,65.3546646142458,52.74508195288932,43.29169196906605,50.50854229726631,49.945946429597605,41.09830042369127,56.41252435443455
577,39.65,51.103263558641466,37.59562881517335,65.35460009102702,52.07237004312414,42.10372631110116,49.02603173018899,48.40420713230251,40.25857374673449,57.03539207769133
578,38.32,49.82784026224208,37.87317185613697,65.35449972157559,51.63439718790786,40.03467459294082,46.8272417421762,46.239302588019584,39.33547590186601,57.45260637957643
579,34.79,48.53817884223166,38.11108330227594,65.35442085986375,51.41980371611173,39.47950248005521,45.36776954882699,44.91297405662517,38.58664810167873,57.81409771279752
580,34.58,47.05278982267205,38.26414671571776,65.35434916739844,51.39084354474881,37.80825791341992,42.72157556178608,42.61637403818677,37.81932364544088,57.94411916788796
581,29.77,45.76578102387818,38.27654234297026,65.3543204904123,51.65875111837445,38.726365962702666,42.13562587354188,42.14654105138569,37.23782605929258,57.81015462720534
582,32.81,45.12932399382145,38.15281907095751,65.35469329123194,52.56584362036196,42.14853768654464,43.5291875989062,43.42994371917434,37.10867925227896,57.46451808268807
583,37.93,45.75241037909744,38.03720421677158,65.35520230773565,54.57807905976228,48.87250948496917,48.21018581342775,47.92009659103448,37.541651558039696,56.80026588382975
584,48.87,49.14434580569393,38.20794340753616,65.35632787944105,58.93461509939656,63.98859336470551,61.008337581672,62.57573561230238,39.19883006298071,55.89083979209633
585,78.02,56.70561390650115,39.02492206524933,65.35784775970568,66.90523642326738,87.47432090712476,82.12028458212086,87.47787685340425,43.133929114523,55.16081692556048
586,116.3,68.03576207802404,40.604697800015884,65.35888013120618,77.79674141502332,109.86604293661748,104.95545318655644,113.94949520663056,48.97297213661134,54.59849707388323
587,142.93,80.30151126036586,42.64320852795317,65.35819905278571,88.53273111102374,119.801414195489,119.649454846013,129.84137042275813,55.504643235328615,54.423588966260745
588,141.47,91.28030899788608,44.73968261409548,65.35666483402802,96.6315278090032,122.39660974733,128.33076716314818,138.5619702108845,61.99026626357578,54.94402249507927
589,138.96,100.02761422934128,46.80899959437748,65.35604827882634,102.15667971021458,122.80398067372772,133.49836006286083,143.52772014375682,68.47554516798945,56.67398677542862
590,137.71,106.19748930185987,48.8297413447871,65.35574717047203,105.75817938216554,120.84393734907476,135.0755512842529,144.70872446333988,74.41181751153437,59.45259316127814
591,132.64,109.4483267874752,50.61920678672242,65.35531701568016,107.2256954701228,115.1018010323491,131.7906742161073,140.6920967402444,79.24440585933557,63.04580159961573
592,120.27,110.44979883542312,52.11493744440333,65.35533135417322,106.77225496551536,110.7281591704913,128.51943305486412,136.7369094599216,82.80536344215241,67.09175871027047
593,116.52,110.12440107386352,53.52652265554717,65.35588338615612,105.40611202350976,108.25853297164484,125.98352717183644,133.66331008705146,85.35142097826834,71.45311965282028
594,115.01,109.14030011026075,55.05886665526308,65.35626335622227,103.83019692800026,106.22684019715877,123.75998536017454,131.0354801250003,86.87927344503244,75.80777734986337
