,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,_actual,Gru_predicted,cNN_biLSTM_1fea-Copy1_predicted,cNN_LSTM_1fea_predicted,gRU_biLSTM_1fea_predicted,cNN_1Fea_predicted,biLSTM_predicted,vANILLA_LSTM_predicted,sEQ2SEQ_predicted
117,117,117,117,117,117,117,117,187.49,129.51119558574123,104.6371524688104,106.04751777236912,85.40749063878569,146.4061252301239,157.8083832815364,141.72064515413777,155.5801592567456
118,118,118,118,118,118,118,118,146.14,125.62082448114528,102.02541563430744,106.23030538259202,85.39120676414443,109.89486250005385,136.1298829567412,129.6949366890813,138.24032078490455
119,119,119,119,119,119,119,119,122.65,118.28546784597036,99.91932811849108,105.27477864340696,85.37642017166368,108.81206677722469,128.58124182992464,127.42915397447288,136.2616139902069
120,120,120,120,120,120,120,120,134.58,110.67425373334108,98.17392917089514,104.03778520553934,85.36137285840871,100.60378719330244,117.04597148867023,117.0296131223792,123.30039469226044
121,121,121,121,121,121,121,121,108.41,106.80696014184606,97.01199351934288,102.74211469514236,85.35156230813308,111.10129946318293,117.45490084928628,116.49832377783936,124.54318358048072
122,122,122,122,122,122,122,122,122.94,104.1275699910156,95.67650722214005,101.31076509384144,85.3403960098315,100.19591561411325,109.66368511413576,106.40768489904112,112.00077123591075
123,123,123,123,123,123,123,123,95.09,102.71339071498832,94.36558827103369,99.83387129786684,85.33401207544561,105.87433213580246,111.87453768619856,105.59788617431488,112.96814959657534
124,124,124,124,124,124,124,124,108.41,102.81267318581116,94.61149265611267,99.16730511733192,85.33670122400255,118.44487997649324,118.9561757622329,108.87635307098228,118.5438197857271
125,125,125,125,125,125,125,125,119.1,105.36048128647543,95.64069163692724,99.6832417328527,85.34683208837224,133.99365611942503,130.05508891742332,117.17890928686234,129.6751219102406
126,126,126,126,126,126,126,126,137.78,108.16036912998526,95.81355695939985,100.57603905376052,85.35671713029765,130.40168366550594,131.81041015276958,117.95992443811473,129.5362247800663
127,127,127,127,127,127,127,127,127.25,111.69662182987108,96.83448736708915,101.60080578141331,85.36112703596446,144.57863648447366,135.4200669243457,125.49323518340717,138.7871341892579
