,Actual,Gru_predicted,cNN_biLSTM_1fea-Copy1_predicted,vANILLA_LSTM_predicted,cNN_1Fea_predicted,cNN_LSTM_1fea_predicted,sEQ2SEQ_predicted,biLSTM_predicted,gRU_biLSTM_1fea_predicted,sTACKED_LSTM_predicted
681,135.5,123.43962033043528,127.54793921194096,132.8607981190683,135.42768177637066,117.04141162136908,137.5230421586294,127.31617141568468,99.52889268294804,105.02733708099385
682,132.15,119.60153262413418,120.70388281455844,127.11105422843649,127.42359887056988,114.56485502818131,130.9773300788807,122.37650853666968,99.3656889534878,107.13848532402989
683,124.03,111.46410917129356,109.30910992619364,107.53418186631411,111.98680861579258,107.87228959260398,108.16968388852833,100.19347036958656,95.735868506419,108.41270194187057
684,78.86179,101.91626598815832,98.09167859036036,95.96956759680836,98.70918020123702,98.7922695999596,95.438855469207,85.24051617121914,89.32035940201173,108.84171174541488
685,78.86179,93.32596343632268,91.28343551136813,89.05020322852104,91.93033779409608,91.67479445453148,88.51057214710765,80.34629183054574,85.56532359357625,112.03057211585694
686,78.86179,86.79678298434749,87.3041258279242,84.85332607332043,88.50978462911164,86.5430771867736,84.76363652377408,78.23843116263595,82.10243821123451,114.91745058554072
687,78.86179,86.16538105582686,89.40248002859636,96.5031922909664,94.13086307953716,86.47706317825036,100.24732785031416,93.77462368891048,80.70598130001213,117.43737066965204
688,118.99999,88.04574902517304,93.89754524786017,99.00023060219344,99.31265649161318,88.93099425440973,103.31468544422792,95.5099008427048,79.50293505852575,118.99095617150822
689,106.7,87.96397215644382,92.9267418134848,90.52206811293344,94.93348142062035,87.4236723097481,92.8397085746393,84.55544426625569,77.95219337165517,120.39358822384224
690,78.86179,86.04727835699566,89.14820546802534,84.93562170390418,88.41275741188812,83.36279201228817,86.4197118676833,78.44906097585628,76.60275628490925,121.89347249854148
691,77.2,83.00737764051443,86.84007772369993,80.20082600642436,84.46694224384619,79.54804858944043,81.21303038687603,74.5254838159876,75.71626102710745,123.42775755935244
692,73.25,79.24344162869542,85.63329389680389,74.82474065447394,81.6577905503407,75.75924325931862,75.28518867643069,70.64875772673906,75.05203959860997,124.63826022122969
693,66.12,75.70422325202549,85.18359612050705,71.61680484812837,80.52291461665237,72.29103275528952,72.08352176333912,70.32110648939634,74.92489294311022,125.41200290245892
694,66.15,75.22363726988488,88.38641305987852,78.49374949705881,86.17531878291945,71.95581884512791,81.18711729472139,81.64179643485018,75.97589196007995,125.3364261754126
695,91.05,79.01104256801376,96.51279876048925,90.85558198424653,98.82862043063288,76.1705401580954,96.58690670397156,97.806715828516,78.27517575230723,124.16141182449871
696,115.0,85.43708941322487,105.99147161297437,101.16122998440588,112.48134491671978,82.41275780252205,108.4172145449906,109.24162088396356,81.0908088439228,121.9399235600208
697,123.08,93.75216692573834,115.82818389721992,113.48058025080849,126.27238506353564,89.52769538996301,122.12211522338498,122.28491894370438,84.81455643737367,119.3674147741755
698,140.55,102.64179506763143,125.19079784757776,124.37774176797596,138.7650705409186,97.25068437232844,133.64834111565636,132.9340622932692,89.09111666345696,116.73280456921574
699,150.17,109.97972525080164,130.54238263965212,129.44171998779075,144.4942514616545,103.5734288569192,137.97925258375045,137.81849891027784,93.65279590495524,114.57850534011226
700,145.77,115.18596922161112,131.53849290232804,132.55652866603592,144.22462030016115,107.9193781686515,140.34078154837718,139.6360404439418,96.70380312523744,111.81969229692358
701,145.82,118.84944043765258,131.16295932079893,135.99659477692165,142.75503671788007,111.46509669386,143.35930052625227,140.67042658128125,98.26383877448956,108.9051756956653
702,150.03,121.33039713138952,130.76302518167896,138.2704342377062,141.06061049759342,114.55162972596248,145.19109238555842,139.69116670366296,98.8285016779192,106.63667385685376
703,150.5,123.89505573784596,130.96975490577617,143.38206354642284,141.0517727956381,117.91626911322972,150.4685379834363,142.64077160674375,99.66366451269492,105.77884175404984
704,160.83,127.22796940013082,132.0409293837867,149.87991203241364,143.28734888204477,122.26179341524993,157.21911724472025,147.3355788904258,100.89121131405736,106.0455853495578
705,170.38,130.2834767232474,133.5628391618031,152.5076970814079,145.4505733151031,126.1628200598041,159.4403930043421,146.73222760290616,101.61321531297688,106.95259357611296
706,166.85,132.0607798374006,134.37213265542397,151.88219528771458,145.9772603507248,128.25295532266068,158.08749958861364,142.0710835884824,101.7007173125343,108.72847165770196
707,160.6,133.09187839961382,134.9933968522816,152.7522651701709,146.7553531313606,129.4926086506762,158.69505097211206,142.8083379358962,103.426344245806,112.75356363734288
708,163.9,125.68633417135705,125.86922585071768,122.78755542973346,130.70196128627353,122.791655523427,123.69343863058003,109.1759193825816,101.795981989481,116.94463440985858
709,78.86179,113.97457903945266,109.42376254618512,105.16739028142833,108.55308014973194,110.1517541819315,104.092553219722,93.24155525746389,98.32117758477098,121.0976418125668
710,78.86179,102.12649579223783,96.34264487220705,94.67138168123178,93.18445395260986,99.9704215225719,93.19334165570775,86.59114703524475,94.28792916874272,124.98171806977815
711,78.86179,98.40986711146525,96.78327994140686,110.81806940827552,98.77314416291348,98.5366762592524,114.68177019987566,106.08812382162834,90.62952681853275,126.89879937808148
712,142.2,98.75777506170552,103.21783948114634,113.33576444154096,106.4033685254624,101.50794415736648,117.85586773296382,107.01642003464728,88.33108679558693,129.14083811216975
713,122.53,96.67308992339278,101.18773058998616,99.17655963158728,100.48790834795444,98.49620033431428,100.90295533242654,90.71034741540969,86.41502426056415,132.2229835440087
714,78.86179,94.42724485232377,97.3624619266202,97.58902960404563,95.81932666356828,93.64594574841848,99.76877941473468,90.31058828028884,84.98022897324998,134.95203340706223
715,97.8,91.249909745252,96.51164248406651,91.4897402257532,94.69568848668028,89.99829364386842,92.92614804991638,84.90109591493595,83.79042053426807,137.39353919928445
716,83.53,87.37753375541004,95.61088440033689,85.60548701137311,92.89012222667004,85.70943313670449,86.47622565911175,81.24118728030504,83.20081956096458,139.61452745233632
717,77.25,83.10816119357611,93.81663089884086,79.7794976284126,89.78336373238412,81.19580499324887,80.16995655100908,79.12087007774396,83.08982952466883,141.25118985262944
718,70.8,80.02067188962131,93.3287134991659,79.1494519808851,89.14559915846709,77.96318112274245,80.26014611198147,82.25458543803637,82.79354775416743,141.2499773249213
719,78.86179,78.18754249975048,94.19010193323754,78.71627958221897,90.2033233291171,76.24499185943311,80.31782242997545,84.06069546047243,82.19102148550074,139.69699183677633
720,78.86179,77.28941572615038,94.67308797022316,78.41823527144078,91.72669564055468,75.0518270937539,80.35557954278447,85.80102897981263,81.90113361110987,137.38472649790043
721,78.86179,76.95063298443539,94.88588033286112,78.21255557133826,93.48464831252004,74.1289247539934,80.3800926029462,86.49939493856598,81.27881314011472,133.95039801812854
722,78.86179,76.88311269149119,95.3047149038855,78.07060857762765,95.4368929243598,73.41883352729936,80.39592421472327,86.43638724874182,80.47205720448105,129.90744313029222
723,78.86179,76.91290087219767,95.78796344686978,77.97275009140834,97.5838794863574,72.87230228820658,80.40611194752888,86.77458872717403,80.07619815848331,125.95819038369626
724,78.86179,76.95577060183797,96.29206246632005,77.90542980303456,99.55147444897666,72.45198018318973,80.41262459635308,87.31506357786887,79.8532368134682,121.93814851945837
725,78.86179,76.98240871056038,96.48967948217762,77.85920999683977,100.62961158609484,72.12756651983062,80.4167684410464,87.72932929448778,79.52616058926542,117.73727752299224
726,78.86179,76.99014013723556,95.717455585655,77.82756552371411,99.88903216269786,71.87499199810816,80.41937475060465,88.3681688929708,79.21645351197479,113.56045707611874
727,78.86179,76.98534002754555,93.92921472155712,77.80581502668127,97.95240040763626,71.68035005023552,80.42102478831059,88.2259281425474,78.31423289482396,109.04169131526052
728,78.86179,76.97513354431146,91.33751799723744,77.79085843489977,95.51628223852968,71.53313418612301,80.42203731144834,86.82451486806437,76.63058817091132,104.290513993435
729,78.86179,76.96447705079393,87.25067460648026,77.7807519539509,91.4211636586715,71.42181914240032,80.42264982544523,84.7781618557006,74.6270611371881,99.8928635002499
730,78.86179,76.95570810040972,84.72786695638358,77.77397679912802,89.16406208037371,71.35225505275218,80.42303733430042,81.93565314993526,72.35094037427223,95.867877773037
731,78.86179,76.94937670572746,85.2974987233595,77.76931419258018,90.67408408673596,71.31485419808422,80.42326233944213,76.66517646130781,69.17719284918229,91.9894703953684
732,78.86179,76.94590162631646,87.35068314183157,77.76722039473363,93.56873773409473,71.28859734807416,80.42339984258429,77.5562030726581,69.79166939093139,91.76480276136192
733,78.86179,81.603758065614,93.62586403952004,94.74783342827364,104.5611889287802,75.86357064336235,102.21052271238425,99.23896105755738,72.42192324634176,91.5707733274862
734,129.0,87.91210847127756,99.95833999649015,102.83928083048968,112.54494637011236,83.00840891408065,110.53573795656072,108.77939782144436,76.05714381681183,91.44037659771718
735,121.03001,93.67575892969624,103.5328404294102,106.97910668197886,115.5317521232907,87.95070935336804,114.1320326375134,108.43412743147644,76.57277434977519,88.95408853215005
736,118.97001,97.04916726734773,103.88708602447556,105.82888039751104,113.80670020315894,90.2748624638981,111.74895318042424,102.85249363242283,76.95488933169958,87.68495953056934
737,108.729996,96.4414908809928,99.58000010083238,97.6095863237988,106.21195165128772,89.05732214119932,101.25383835065176,93.33019478301554,77.89563582922696,88.4014634038024
738,87.45,92.77175077169731,93.03711308564084,89.53216424208327,96.85187525891703,85.29594243779594,91.46177708675178,83.34876669178769,76.58309333558013,88.53730400797245
739,78.3,86.89272892686219,86.37932344474473,79.96209555106044,87.9892102331733,80.28805924984027,80.28405290828911,73.1180329035351,74.63853639941577,89.34185364318873
740,64.85,79.86808090267883,79.65986989473197,70.55911817833532,79.76928489503568,74.40132472875845,69.67380419752756,64.00486840348695,72.04284583383058,90.37623353038536
741,54.399998,73.6250569898277,74.51940242701835,65.80467203181206,74.86864790782329,69.25014451624187,64.96333405592472,61.124346329056735,69.61622788181879,91.51829087818022
742,56.8,69.61889669280528,72.64243453536926,65.5238968656608,74.81438416781204,66.2880580779385,65.61067384865045,62.4408639135406,67.28551837146473,92.1503178209834
743,64.15,69.27120124742109,74.9464559358583,71.84077246613839,80.36317346631749,66.53076987428229,74.02817870178869,70.5857000357723,66.14161098139353,92.59005911975918
744,82.67,76.48319105265686,85.82544828783197,94.31477353217838,98.93004774840558,73.72845935273325,103.7889962829717,97.98236984248469,67.94225212885725,92.92082917837185
745,140.95,91.12244433246816,104.6484909237672,122.3470078625332,125.2603869377972,87.9250900179262,137.62458197897297,128.87093194439208,72.91728456612192,93.30893804726593
746,183.7,108.07798179299216,122.7608048184402,142.82541332609554,145.56317588824783,103.43198812477746,157.89512019244384,146.22461600318798,79.62443783505404,93.94028997464396
747,188.68,122.22410505401196,133.60446511302115,152.2669415797685,153.62879770030878,115.19175685386756,164.6969006237545,150.69154307945124,86.41754931826567,94.97012600800645
748,178.67,130.05274645070014,135.75495175500103,149.98063933418987,149.6876201382434,120.92433785230052,159.24643857218027,143.7577346310941,91.81416013925514,96.48103553464992
749,156.35,131.92585175408306,132.44575113459624,144.7877456684557,140.5754244103332,121.90811033303886,151.72591671650505,135.76687702751215,95.43703667764478,98.4883939059252
750,145.28,129.9897700115901,128.02168753783045,139.92053444507422,132.43955099291333,120.93147551540729,145.4029597270582,129.70945110586513,97.48937107669258,100.96016913985144
751,140.05,124.18372483438588,121.54412701545132,127.4651998212166,122.27766877802677,117.2410411832165,130.79710096036374,115.99420019095164,97.55774763920388,103.80342161261302
752,113.25,115.69200578533729,112.84656576258676,114.10414450022589,111.42990838975228,110.55247583904747,115.55744021030364,102.64210132462988,95.93351677299071,106.8835169976052
753,96.45,106.06641082545244,104.55691383108754,101.87151496552754,103.37178674908196,102.7560226779108,101.97054222845522,91.59977399019664,93.15977213859183,110.03932661278589
754,84.42,96.82272459277878,98.64817880725984,92.18741241865293,99.37214535102656,95.21245029549505,91.56591696651076,84.17147299191213,89.90123517593078,113.11947199892067
755,77.75,89.68269893203615,94.54095995089146,87.82437521643561,98.15783010202576,89.35261638913428,87.70644127146069,83.35739188888691,87.03889476698002,115.98808755126826
756,81.83,85.44378956633383,92.01838980622212,87.30085075308361,97.9903762754442,85.92170048734512,88.27972937198956,87.442303985511,85.20754041767165,118.4962198660106
757,87.92,83.86602851202849,91.04730511541965,88.61483077958032,97.81033466121198,84.43235395344972,90.7028347437334,88.87069287642902,81.83101950889308,118.57763422645596
758,92.73,83.02745309927005,89.14849922473815,86.18611277957915,94.21252744569554,82.97990826279624,88.17951458192502,85.45406480113901,78.93518458454031,118.71729991803524
759,83.9,82.05129954263603,86.11424238722839,83.35169800877286,88.12008822393989,80.75084482521378,85.1444827267049,80.9438679860946,76.03541832035029,118.6158600999769
760,80.07,79.99101496191417,82.34391247929884,77.87842293588545,80.50626423616517,77.64871143661877,78.8952774225993,73.326206410625,73.15830257375998,118.6046723443192
