,Test,BiLSTM-Tred_Pred,BiLSTM-GAB_Pred,CNN-Tred_Pred,CNN-GAB_Pred,GRU-Tred_Pred,GRU-GAB_Pred,LSTM (1)-Tred_Pred,LSTM (1)-GAB_Pred,RNN-Tred_Pred,RNN-GAB_Pred
2768,12.27,13.030691146850586,12.502370998149294,13.071422576904297,12.620145175437036,12.996780395507812,12.395304371821895,13.190217971801758,12.438737345475007,13.018320083618164,12.519996534528744
2769,12.15,12.343791961669922,12.236903300354284,12.315766334533691,12.552019784106864,12.213003158569336,12.141827639003528,12.382134437561035,12.281456861283676,12.225397109985352,12.279426760466135
2770,11.54,12.298453330993652,11.530246111453225,12.320161819458008,11.95291571969116,12.291624069213867,11.591348883558544,12.419211387634277,11.677581060980437,12.26120376586914,11.772243868188367
2771,11.17,11.401196479797363,11.096562912349501,11.548186302185059,11.615250026284514,11.37924861907959,11.326534040157142,11.555956840515137,11.319281439868714,11.359288215637207,11.364105141960826
2772,10.38,11.19919204711914,10.611038204028608,11.274045944213867,10.777339460504598,11.260547637939453,10.68818045054648,11.297362327575684,10.601066943167064,11.211244583129883,10.642905267759215
2773,10.8,10.186468124389648,11.183790877433346,10.374110221862793,11.185779017345748,10.156814575195312,11.100482463301278,10.303261756896973,11.06989608608968,10.112462997436523,10.8634547404611
2774,11.47,11.218599319458008,12.278854243700756,11.030020713806152,11.642634331899334,11.192954063415527,11.527109504075757,11.146451950073242,11.53868287764734,11.160758972167969,11.29819869704678
2775,10.31,11.615498542785645,11.594081620641855,11.588326454162598,10.947464280159041,11.5377779006958,10.969778943076276,11.683331489562988,10.918684266699351,11.52655029296875,10.731908840210025
2776,10.19,9.968202590942383,10.682072194579556,10.091450691223145,10.382764342332779,9.87730884552002,10.415068768877129,9.97027587890625,10.30969138144018,9.88293743133545,10.446462601040306
2777,9.22,10.540348052978516,10.001472796582988,10.322977066040039,9.644268013513313,10.417285919189453,9.892572967811393,10.397253036499023,9.815168030046081,10.463432312011719,10.092937518919152
2778,9.58,8.937478065490723,9.493852201786101,9.115401268005371,9.770686716364573,8.83249568939209,9.65394614899799,8.999734878540039,9.70413966959628,8.705309867858887,9.724265028883513
2779,9.22,9.985963821411133,9.31896311467494,9.804665565490723,9.382647701255834,9.983297348022461,9.369275137165122,9.930721282958984,9.388151665657764,9.905106544494629,9.558462141438424
2780,9.28,9.092047691345215,9.453514958509698,9.213029861450195,9.465081667305865,8.958890914916992,9.434596057833582,9.14305591583252,9.627188854083377,8.851567268371582,9.877045912636275
2781,9.77,9.626280784606934,9.77379566435959,9.41835880279541,9.847303859876668,9.473614692687988,9.739400933774185,9.466987609863281,10.089310318330273,9.481301307678223,10.103891194431377
2782,10.13,9.968135833740234,10.281773100148824,9.888874053955078,10.142471384072095,9.842479705810547,10.080310371166735,9.9754638671875,10.257433304951487,9.812967300415039,9.966446559016676
2783,9.52,10.36026382446289,9.729857987864754,10.183416366577148,9.487346508216287,10.158769607543945,9.546427487967803,10.243605613708496,9.649335114643844,10.216489791870117,9.61021014420435
2784,8.85,9.316167831420898,8.995313684524916,9.40223217010498,8.987613307241999,9.230030059814453,8.857529879321522,9.368928909301758,8.947629710346726,9.100637435913086,9.075050720966484
2785,9.64,8.920140266418457,9.647658572055832,8.848450660705566,9.710877470933466,8.753915786743164,9.587648377081429,8.788872718811035,9.706372075245007,8.80672836303711,9.309008641475469
2786,10.74,10.037182807922363,10.513657331732011,9.872385025024414,10.624495447746439,9.962961196899414,10.603808895016762,9.986536026000977,10.706935532867542,9.924456596374512,10.4009706153204
2787,10.86,10.926502227783203,10.74835699227435,10.859230041503906,10.65396794490107,10.860819816589355,10.616780358225679,10.959664344787598,10.751845592193808,10.910099029541016,10.96223808577023
2788,9.4,10.890743255615234,9.981938074527083,10.7706298828125,9.882240685217944,10.672779083251953,9.966682317896463,10.799345016479492,10.113994183814501,10.685691833496094,10.465443969968142
2789,11.35,9.018529891967773,9.823761812589442,9.144388198852539,10.07833971159369,8.926844596862793,9.708491525342577,9.009706497192383,9.714068599728039,8.876834869384766,8.860283837314949
2790,13.37,12.427042007446289,12.729698058214375,11.794978141784668,12.714187030808647,12.103839874267578,12.996831790216483,11.96339225769043,12.904607266196106,12.085386276245117,12.423400063210448
2791,13.12,13.21499252319336,12.996806447192998,13.419357299804688,12.662583554110562,13.329916954040527,13.389762111468487,13.513874053955078,12.971810407346002,13.159070014953613,12.886146649714231
2792,12.76,13.137823104858398,12.583349130122569,12.777597427368164,12.399200031645249,12.934432983398438,12.825515811027921,12.869471549987793,12.858528907141016,13.05107307434082,11.976339923560614
2793,11.05,12.7653226852417,11.73603797357818,12.609354972839355,11.609845083598444,12.617032051086426,12.018630307517775,12.713926315307617,12.155568464356755,12.641433715820312,11.98762407530604
2794,10.86,10.651622772216797,10.876155770668037,10.681877136230469,10.834809087559876,10.397526741027832,10.786078634253817,10.659582138061523,11.119515514684768,10.477096557617188,11.507195331194783
2795,10.8,11.128036499023438,10.804077784320327,10.940021514892578,10.834314882721028,11.127427101135254,10.868761811498505,11.086893081665039,10.874968298992005,11.001387596130371,10.926975857040722
2796,8.24,10.822518348693848,9.997369948174573,10.8560152053833,10.0432801963089,10.71328067779541,10.131449625389255,10.908164024353027,10.116673126837151,10.661005020141602,10.093721462784812
