iter	Passed	Remaining
799	7275	1818
800	7282	1809
801	7290	1800
802	7297	1790
803	7304	1780
804	7311	1771
805	7319	1761
806	7327	1752
807	7335	1743
808	7342	1733
809	7350	1724
810	7357	1714
811	7364	1705
812	7371	1695
813	7378	1686
814	7386	1676
815	7394	1667
816	7401	1657
817	7408	1648
818	7415	1638
819	7422	1629
820	7430	1619
821	7437	1610
822	7445	1601
823	7453	1591
824	7460	1582
825	7466	1572
826	7474	1563
827	7482	1554
828	7489	1544
829	7496	1535
830	7503	1525
831	7510	1516
832	7517	1507
833	7524	1497
834	7532	1488
835	7538	1478
836	7545	1469
837	7553	1460
838	7560	1450
839	7567	1441
840	7574	1432
841	7582	1422
842	7592	1413
843	7600	1404
844	7606	1395
845	7614	1386
846	7626	1377
847	7636	1368
848	7644	1359
849	7652	1350
850	7659	1341
851	7667	1331
852	7674	1322
853	7682	1313
854	7691	1304
855	7699	1295
856	7706	1285
857	7714	1276
858	7721	1267
859	7729	1258
860	7737	1249
861	7744	1239
862	7751	1230
863	7759	1221
864	7766	1212
865	7773	1202
866	7780	1193
867	7788	1184
868	7795	1175
869	7803	1166
870	7810	1156
871	7817	1147
872	7825	1138
873	7833	1129
874	7841	1120
875	7849	1111
876	7856	1101
877	7863	1092
878	7871	1083
879	7880	1074
880	7889	1065
881	7896	1056
882	7904	1047
883	7911	1038
884	7919	1029
885	7927	1019
886	7934	1010
887	7942	1001
888	7949	992
889	7957	983
890	7964	974
891	7971	965
892	7978	956
893	7986	946
894	7993	937
895	8001	928
896	8008	919
897	8015	910
898	8022	901
899	8031	892
900	8038	883
901	8045	874
902	8053	865
903	8060	856
904	8067	846
905	8074	837
906	8082	828
907	8089	819
908	8098	810
909	8105	801
910	8113	792
911	8120	783
912	8128	774
913	8135	765
914	8142	756
915	8150	747
916	8158	738
917	8165	729
918	8173	720
919	8180	711
920	8189	702
921	8196	693
922	8204	684
923	8211	675
924	8217	666
925	8225	657
926	8232	648
927	8239	639
928	8246	630
929	8254	621
930	8261	612
931	8268	603
932	8275	594
933	8282	585
934	8289	576
935	8295	567
936	8302	558
937	8310	549
938	8317	540
939	8325	531
940	8332	522
941	8339	513
942	8346	504
943	8353	495
944	8360	486
945	8368	477
946	8375	468
947	8382	459
948	8390	450
949	8398	442
950	8405	433
951	8412	424
952	8420	415
953	8426	406
954	8433	397
955	8441	388
956	8448	379
957	8455	370
958	8462	361
959	8469	352
960	8476	344
961	8484	335
962	8491	326
963	8499	317
964	8506	308
965	8514	299
966	8521	290
967	8528	281
968	8535	273
969	8543	264
970	8550	255
971	8557	246
972	8565	237
973	8574	228
974	8582	220
975	8590	211
976	8597	202
977	8604	193
978	8614	184
979	8621	175
980	8629	167
981	8637	158
982	8653	149
983	8668	140
984	8683	132
985	8697	123
986	8708	114
987	8718	105
988	8730	97
989	8742	88
990	8756	79
991	8767	70
992	8783	61
993	8801	53
994	8815	44
995	8830	35
996	8845	26
997	8858	17
998	8869	8
999	8888	0
