,PM,Date
642,46.29,2020-09-18
643,58.33,2020-09-19
644,59.7,2020-09-20
645,58.05,2020-09-21
646,64.41,2020-09-22
647,39.8,2020-09-23
648,41.22,2020-09-24
649,70.14,2020-09-25
650,70.17,2020-09-26
651,38.5,2020-09-27
652,69.31,2020-09-28
653,76.73,2020-09-29
654,68.2,2020-09-30
655,69.52,2020-10-01
656,88.38,2020-10-02
657,85.62,2020-10-03
658,82.38,2020-10-04
659,83.07,2020-10-05
660,84.87,2020-10-06
661,106.87,2020-10-07
662,89.74,2020-10-08
663,95.47,2020-10-09
664,114.91,2020-10-10
665,112.64,2020-10-11
666,136.94,2020-10-12
667,153.64,2020-10-13
668,160.17,2020-10-14
669,117.01,2020-10-15
670,126.72,2020-10-16
671,136.94,2020-10-17
672,122.33,2020-10-18
673,134.85,2020-10-19
674,132.61,2020-10-20
675,110.98,2020-10-21
676,142.69,2020-10-22
677,155.89,2020-10-23
678,182.1,2020-10-24
679,193.47,2020-10-25
680,179.38,2020-10-26
681,155.1,2020-10-27
682,211.42,2020-10-28
683,269.74,2020-10-29
684,278.18,2020-10-30
685,283.08,2020-10-31
686,277.05,2020-11-01
687,230.37,2020-11-02
688,163.43,2020-11-03
689,298.67,2020-11-04
690,276.6,2020-11-05
691,326.88,2020-11-06
692,355.47,2020-11-07
693,384.99,2020-11-08
694,517.29,2020-11-09
695,406.43,2020-11-10
696,194.73,2020-11-11
697,167.25,2020-11-12
698,250.72,2020-11-13
699,429.65,2020-11-14
700,324.97,2020-11-15
701,57.27,2020-11-16
702,58.04,2020-11-17
703,92.36,2020-11-18
704,130.98,2020-11-19
705,115.87,2020-11-20
706,116.93,2020-11-21
707,123.72,2020-11-22
708,144.33,2020-11-23
709,164.23,2020-11-24
710,211.05,2020-11-25
711,61.95,2020-11-26
712,59.57,2020-11-27
713,105.57,2020-11-28
714,159.55,2020-11-29
715,199.12,2020-11-30
716,187.49,2020-12-01
717,187.69,2020-12-02
718,161.99,2020-12-03
719,221.02,2020-12-04
720,210.71,2020-12-05
721,250.71,2020-12-06
722,208.21,2020-12-07
723,163.84,2020-12-08
724,135.34,2020-12-09
725,71.25,2020-12-10
726,74.55,2020-12-11
727,115.64,2020-12-12
728,51.24,2020-12-13
729,43.17,2020-12-14
730,60.57,2020-12-15
731,89.09,2020-12-16
732,102.81,2020-12-17
733,109.46,2020-12-18
734,113.66,2020-12-19
735,124.62,2020-12-20
736,169.17,2020-12-21
737,197.58,2020-12-22
738,218.3,2020-12-23
739,189.49,2020-12-24
740,190.75,2020-12-25
741,212.78,2020-12-26
742,189.93,2020-12-27
743,108.81,2020-12-28
744,101.87,2020-12-29
745,126.65,2020-12-30
746,166.78,2020-12-31
747,153.51,2021-01-01
748,171.64,2021-01-02
749,132.96,2021-01-03
750,44.61,2021-01-04
751,34.05,2021-01-05
752,76.46,2021-01-06
753,84.51,2021-01-07
754,67.59,2021-01-08
755,102.22,2021-01-09
756,87.74,2021-01-10
757,94,2021-01-11
758,121.17,2021-01-12
759,122.36,2021-01-13
760,110.91,2021-01-14
761,126.12,2021-01-15
762,94.79,2021-01-16
763,120.34,2021-01-17
764,160.87,2021-01-18
765,129.59,2021-01-19
766,100.07,2021-01-20
767,103.91,2021-01-21
768,126.43,2021-01-22
769,132.73,2021-01-23
770,133.64,2021-01-24
771,114.37,2021-01-25
772,133.6,2021-01-26
773,124.45,2021-01-27
774,139.23,2021-01-28
775,131.78,2021-01-29
776,104.08,2021-01-30
777,120.19,2021-01-31
778,121.84,2021-02-01
779,125.48,2021-02-02
780,152.22,2021-02-03
781,49.15,2021-02-04
782,32.94,2021-02-05
783,59.16,2021-02-06
784,90.48,2021-02-07
785,131.28,2021-02-08
786,112.96,2021-02-09
787,122.17,2021-02-10
788,123.1,2021-02-11
789,165.89,2021-02-12
790,82.1,2021-02-13
791,93.05,2021-02-14
792,90.23,2021-02-15
793,97.92,2021-02-16
794,80.69,2021-02-17
795,83.21,2021-02-18
796,89.2,2021-02-19
797,81.43,2021-02-20
798,121.98,2021-02-21
799,108.39,2021-02-22
800,91.9,2021-02-23
801,95.55,2021-02-24
802,98.68,2021-02-25
803,85.44,2021-02-26
804,57.03,2021-02-27
805,48.08,2021-02-28
806,74.15,2021-03-01
807,64.16,2021-03-02
808,67.43,2021-03-03
809,77.45,2021-03-04
810,73.6,2021-03-05
811,74.69,2021-03-06
812,84.87,2021-03-07
813,104.08,2021-03-08
814,130.91,2021-03-09
815,86.66,2021-03-10
816,95.66,2021-03-11
817,74.36,2021-03-12
818,59.95,2021-03-13
819,51.08,2021-03-14
820,66.17,2021-03-15
821,82.41,2021-03-16
822,97.79,2021-03-17
823,92.94,2021-03-18
824,70.54,2021-03-19
825,89.69,2021-03-20
826,82.03,2021-03-21
827,44.94,2021-03-22
828,35.21,2021-03-23
829,54.07,2021-03-24
830,36.94,2021-03-25
831,44.32,2021-03-26
832,65.25,2021-03-27
833,68.85,2021-03-28
834,99.5,2021-03-29
835,76.48,2021-03-30
836,58.94,2021-03-31
837,47.89,2021-04-01
838,43.66,2021-04-02
839,52.29,2021-04-03
840,56.53,2021-04-04
841,52.6,2021-04-05
842,105.6,2021-04-06
843,55.4,2021-04-07
844,42.06,2021-04-08
845,42.96,2021-04-09
846,41.15,2021-04-10
847,68.43,2021-04-11
848,110.19,2021-04-12
849,135.05,2021-04-13
850,105.5,2021-04-14
851,115.35,2021-04-15
852,96.63,2021-04-16
853,45.85,2021-04-17
854,81.65,2021-04-18
855,83.05,2021-04-19
856,84.35,2021-04-20
857,57.2,2021-04-21
858,71.58,2021-04-22
859,50.89,2021-04-23
860,65.89,2021-04-24
861,94.61,2021-04-25
862,131.47,2021-04-26
863,189.25,2021-04-27
864,204.03,2021-04-28
865,164.45,2021-04-29
866,175.75,2021-04-30
867,108.19,2021-05-01
868,122.06,2021-05-02
869,142.78,2021-05-03
870,126.41,2021-05-04
871,93.14,2021-05-05
872,112.92,2021-05-06
873,48.61,2021-05-07
874,72.58,2021-05-08
875,88.23,2021-05-09
876,55.18,2021-05-10
877,74.99,2021-05-11
878,55.77,2021-05-12
879,41.96,2021-05-13
880,45.35,2021-05-14
881,48.76,2021-05-15
882,49.63,2021-05-16
883,63.22,2021-05-17
884,41.87,2021-05-18
885,32.43,2021-05-19
886,25.14,2021-05-20
887,37.41,2021-05-21
888,22.49,2021-05-22
889,117.91,2021-05-23
890,47.71,2021-05-24
891,45.6,2021-05-25
892,50.36,2021-05-26
893,56.36,2021-05-27
894,56.84,2021-05-28
895,38.98,2021-05-29
896,38.45,2021-05-30
897,52.13,2021-05-31
898,35.42,2021-06-01
899,48.82,2021-06-02
900,46.35,2021-06-03
901,51.69,2021-06-04
902,38.07,2021-06-05
903,46.79,2021-06-06
904,64.16,2021-06-07
905,100.99,2021-06-08
906,134.93,2021-06-09
907,79.3,2021-06-10
908,49.71,2021-06-11
909,61.21,2021-06-12
910,32.92,2021-06-13
911,48.42,2021-06-14
912,54.34,2021-06-15
913,42.08,2021-06-16
914,41.34,2021-06-17
915,33.78,2021-06-18
916,22.48,2021-06-19
917,18.32,2021-06-20
918,25.61,2021-06-21
919,55.13,2021-06-22
920,155.34,2021-06-23
921,67.05,2021-06-24
922,53.19,2021-06-25
923,41.35,2021-06-26
924,48.49,2021-06-27
925,50.8,2021-06-28
926,67.72,2021-06-29
927,133.18,2021-06-30
928,86.41,2021-07-01
929,72.83,2021-07-02
930,38.84,2021-07-03
931,45.34,2021-07-04
932,58.57,2021-07-05
933,54.64,2021-07-06
934,100.28,2021-07-07
935,132.61,2021-07-08
936,54.85,2021-07-09
937,97.66,2021-07-10
938,77.32,2021-07-11
939,40.38,2021-07-12
940,22.9,2021-07-13
941,26.17,2021-07-14
942,32.89,2021-07-15
943,43.54,2021-07-16
944,66.39,2021-07-17
945,48.9,2021-07-18
946,16.5,2021-07-19
947,24.51,2021-07-20
948,19.73,2021-07-21
949,22.65,2021-07-22
950,25.96,2021-07-23
951,35.38,2021-07-24
952,45.38,2021-07-25
953,38.53,2021-07-26
954,30.15,2021-07-27
955,20.69,2021-07-28
956,19.44,2021-07-29
957,15.01,2021-07-30
958,19.13,2021-07-31
959,20.74,2021-08-01
960,18.26,2021-08-02
961,17.27,2021-08-03
962,26.66,2021-08-04
963,21.99,2021-08-05
964,34.99,2021-08-06
965,35.25,2021-08-07
966,30.82,2021-08-08
967,31.18,2021-08-09
968,45.96,2021-08-10
969,45.16,2021-08-11
970,40.86,2021-08-12
971,64.68,2021-08-13
972,63.25,2021-08-14
973,53.35,2021-08-15
974,45.61,2021-08-16
975,50.26,2021-08-17
976,56.55,2021-08-18
977,67.64,2021-08-19
978,49.7,2021-08-20
979,26.12,2021-08-21
980,None,2021-08-22
981,31.84,2021-08-23
982,42.83,2021-08-24
983,41.02,2021-08-25
984,38.91,2021-08-26
985,41.36,2021-08-27
986,47.03,2021-08-28
987,63.22,2021-08-29
988,29.62,2021-08-30
989,21.19,2021-08-31
990,20.57,2021-09-01
991,23.5,2021-09-02
992,16.07,2021-09-03
993,22.69,2021-09-04
994,30.99,2021-09-05
995,41.93,2021-09-06
996,49.12,2021-09-07
997,23.01,2021-09-08
998,19.46,2021-09-09
999,24.89,2021-09-10
1000,20.07,2021-09-11
1001,18.26,2021-09-12
1002,19.01,2021-09-13
1003,15.94,2021-09-14
1004,13.39,2021-09-15
1005,25.83,2021-09-16
1006,19.72,2021-09-17
1007,22.93,2021-09-18
1008,28.18,2021-09-19
1009,26.76,2021-09-20
1010,32.59,2021-09-21
1011,23.32,2021-09-22
1012,22.98,2021-09-23
1013,19.36,2021-09-24
1014,25.12,2021-09-25
1015,25.31,2021-09-26
1016,48.62,2021-09-27
1017,35.72,2021-09-28
1018,24.94,2021-09-29
1019,34.81,2021-09-30
1020,41.93,2021-10-01
1021,58.96,2021-10-02
1022,49.43,2021-10-03
1023,28.96,2021-10-04
1024,25.44,2021-10-05
1025,38.65,2021-10-06
1026,61.02,2021-10-07
1027,76.61,2021-10-08
1028,74.92,2021-10-09
1029,66.07,2021-10-10
1030,56.5,2021-10-11
1031,66.57,2021-10-12
1032,84.15,2021-10-13
1033,83.81,2021-10-14
1034,105.85,2021-10-15
1035,115.04,2021-10-16
1036,117.79,2021-10-17
1037,18.27,2021-10-18
1038,70.35,2021-10-19
1039,109.59,2021-10-20
1040,92.37,2021-10-21
1041,63.28,2021-10-22
1042,60.55,2021-10-23
1043,57.43,2021-10-24
1044,43.89,2021-10-25
1045,71.92,2021-10-26
1046,112.39,2021-10-27
1047,132.95,2021-10-28
1048,127.21,2021-10-29
1049,149.89,2021-10-30
1050,167.34,2021-10-31
1051,112.55,2021-11-01
1052,113.13,2021-11-02
1053,146.33,2021-11-03
1054,441.16,2021-11-04
1055,312.13,2021-11-05
1056,360.65,2021-11-06
1057,350.69,2021-11-07
1058,279.03,2021-11-08
1059,274.05,2021-11-09
1060,243.12,2021-11-10
1061,283.57,2021-11-11
1062,330.53,2021-11-12
1063,279.82,2021-11-13
1064,241.65,2021-11-14
1065,230.45,2021-11-15
1066,305.87,2021-11-16
1067,194.43,2021-11-17
1068,175.67,2021-11-18
1069,176.15,2021-11-19
1070,198.11,2021-11-20
1071,165.04,2021-11-21
1072,128.63,2021-11-22
1073,162.88,2021-11-23
1074,191.76,2021-11-24
1075,188.91,2021-11-25
1076,166.03,2021-11-26
1077,196.46,2021-11-27
1078,203.52,2021-11-28
1079,164.34,2021-11-29
1080,161.01,2021-11-30
1081,196.82,2021-12-01
1082,189.22,2021-12-02
1083,182.53,2021-12-03
1084,178.19,2021-12-04
1085,106.69,2021-12-05
